Season,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,1,Fri,2020-08-21,19:00 (13:00),Bordeaux,0.4,0–0,0.3,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
2021,1,Sat,2020-08-22,17:00 (11:00),Dijon,0.5,0–1,2.1,Angers,,Stade Gaston Gérard,Eric Wattellier,Match Report,
2021,1,Sat,2020-08-22,21:00 (15:00),Lille,0.5,1–1,1.4,Rennes,3975,Stade Pierre-Mauroy,Clément Turpin,Match Report,
2021,1,Sun,2020-08-23,13:00 (07:00),Monaco,2.0,2–2,1.3,Reims,,Stade Louis II.,François Letexier,Match Report,
2021,1,Sun,2020-08-23,15:00 (09:00),Lorient,2.8,3–1,0.5,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
2021,1,Sun,2020-08-23,15:00 (09:00),Nîmes,1.1,4–0,0.4,Brest,,Stade des Costières,Jérémie Pignard,Match Report,
2021,1,Sun,2020-08-23,17:00 (11:00),Nice,0.2,2–1,2.5,Lens,,Stade de Nice,Jérôme Miguelgorry,Match Report,
2021,2,Fri,2020-08-28,21:00 (15:00),Lyon,4.8,4–1,0.4,Dijon,,Groupama Stadium,Benoît Millot,Match Report,
2021,2,Sat,2020-08-29,17:00 (11:00),Rennes,1.9,2–1,0.5,Montpellier,,Roazhon Park,Willy Delajod,Match Report,
2021,2,Sat,2020-08-29,21:00 (15:00),Strasbourg,0.2,0–2,1.4,Nice,,Stade de la Meinau,Jérôme Brisard,Match Report,
2021,2,Sun,2020-08-30,13:00 (07:00),Reims,0.2,0–1,1.1,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
2021,2,Sun,2020-08-30,15:00 (09:00),Angers,0.9,0–2,2.1,Bordeaux,,Stade Raymond Kopa,Karim Abed,Match Report,
2021,2,Sun,2020-08-30,15:00 (09:00),Saint-Étienne,1.3,2–0,0.2,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Match Report,
2021,2,Sun,2020-08-30,15:00 (09:00),Metz,0.7,0–1,0.3,Monaco,4463,Stade Saint-Symphorien,Jeremy Stinat,Match Report,
2021,2,Sun,2020-08-30,15:00 (09:00),Nantes,2.3,2–1,1.4,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
2021,2,Sun,2020-08-30,21:00 (15:00),Brest,2.7,2–3,1.4,Marseille,,Stade Francis-Le Blé,Amaury Delerue,Match Report,
2021,2,Thu,2020-09-10,21:00 (15:00),Lens,1.4,1–0,0.6,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
2021,3,Fri,2020-09-11,21:00 (15:00),Bordeaux,0.2,0–0,2.2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
2021,3,Sat,2020-09-12,17:00 (11:00),Montpellier,1.6,3–1,0.4,Nice,,Stade de la Mosson,Antony Gautier,Match Report,
2021,3,Sat,2020-09-12,21:00 (15:00),Saint-Étienne,1.7,2–0,1.2,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
2021,3,Sun,2020-09-13,13:00 (07:00),Lille,1.5,1–0,0.7,Metz,,Stade Pierre-Mauroy,Jérémie Pignard,Match Report,
2021,3,Sun,2020-09-13,15:00 (09:00),Dijon,0.4,0–2,2.0,Brest,,Stade Gaston Gérard,Bastien Dechepy,Match Report,
2021,3,Sun,2020-09-13,15:00 (09:00),Nîmes,1.4,2–4,1.9,Rennes,,Stade des Costières,Mikael Lesage,Match Report,
2021,3,Sun,2020-09-13,15:00 (09:00),Angers,2.0,1–0,0.3,Reims,,Stade Raymond Kopa,Benoît Bastien,Match Report,
2021,3,Sun,2020-09-13,15:00 (09:00),Lorient,1.3,2–3,2.1,Lens,,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Match Report,
2021,3,Sun,2020-09-13,17:00 (11:00),Monaco,2.0,2–1,0.6,Nantes,,Stade Louis II.,Clément Turpin,Match Report,
2021,3,Sun,2020-09-13,21:00 (15:00),Paris S-G,1.7,0–1,0.5,Marseille,,Parc des Princes,Jérôme Brisard,Match Report,
2021,1,Tue,2020-09-15,21:00 (15:00),Montpellier,1.6,2–1,1.6,Lyon,,Stade de la Mosson,François Letexier,Match Report,
2021,1,Wed,2020-09-16,21:00 (15:00),Paris S-G,2.3,1–0,1.1,Metz,,Parc des Princes,Mikael Lesage,Match Report,
2021,1,Thu,2020-09-17,21:00 (15:00),Marseille,2.3,0–2,1.5,Saint-Étienne,,Orange Vélodrome,Ruddy Buquet,Match Report,
2021,4,Fri,2020-09-18,21:00 (15:00),Lyon,1.3,0–0,0.5,Nîmes,4385,Groupama Stadium,Amaury Delerue,Match Report,
2021,4,Sat,2020-09-19,17:00 (11:00),Lens,3.5,2–1,0.4,Bordeaux,,Stade Bollaert-Delelis,Benoît Millot,Match Report,
2021,4,Sat,2020-09-19,21:00 (15:00),Rennes,1.3,2–1,1.3,Monaco,,Roazhon Park,Jérôme Miguelgorry,Match Report,
2021,4,Sun,2020-09-20,13:00 (07:00),Nice,1.0,0–3,3.2,Paris S-G,,Stade de Nice,Benoît Bastien,Match Report,
2021,4,Sun,2020-09-20,15:00 (09:00),Montpellier,1.3,4–1,1.0,Angers,,Stade de la Mosson,Stéphanie Frappart,Match Report,
2021,4,Sun,2020-09-20,15:00 (09:00),Brest,1.4,3–2,1.6,Lorient,,Stade Francis-Le Blé,Karim Abed,Match Report,
2021,4,Sun,2020-09-20,15:00 (09:00),Metz,0.9,2–1,1.4,Reims,,Stade Saint-Symphorien,Johan Hamel,Match Report,
2021,4,Sun,2020-09-20,15:00 (09:00),Strasbourg,2.0,1–0,0.5,Dijon,,Stade de la Meinau,Florent Batta,Match Report,
2021,4,Sun,2020-09-20,17:00 (11:00),Nantes,1.9,2–2,1.1,Saint-Étienne,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
2021,4,Sun,2020-09-20,21:00 (15:00),Marseille,0.7,1–1,1.7,Lille,,Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
2021,5,Fri,2020-09-25,21:00 (15:00),Lille,2.0,2–0,0.9,Nantes,,Stade Pierre-Mauroy,Willy Delajod,Match Report,
2021,5,Sat,2020-09-26,17:00 (11:00),Saint-Étienne,0.4,0–3,0.9,Rennes,,Stade Geoffroy-Guichard,Benoît Bastien,Match Report,
2021,5,Sat,2020-09-26,21:00 (15:00),Marseille,1.3,1–1,1.1,Metz,,Orange Vélodrome,Eric Wattellier,Match Report,
2021,5,Sun,2020-09-27,13:00 (07:00),Bordeaux,1.0,0–0,1.0,Nice,,Stade Matmut-Atlantique,François Letexier,Match Report,
2021,5,Sun,2020-09-27,15:00 (09:00),Angers,0.8,3–2,3.1,Brest,,Stade Raymond Kopa,Jeremy Stinat,Match Report,
2021,5,Sun,2020-09-27,15:00 (09:00),Monaco,1.5,3–2,1.4,Strasbourg,,Stade Louis II.,Jérémie Pignard,Match Report,
2021,5,Sun,2020-09-27,15:00 (09:00),Nîmes,0.6,1–1,1.4,Lens,,Stade des Costières,Franck Schneider,Match Report,
2021,5,Sun,2020-09-27,15:00 (09:00),Dijon,1.5,2–2,2.4,Montpellier,,Stade Gaston Gérard,Aurélien Petit,Match Report,
2021,5,Sun,2020-09-27,17:00 (11:00),Lorient,0.2,1–1,0.8,Lyon,,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
2021,5,Sun,2020-09-27,21:00 (15:00),Reims,0.2,0–2,4.4,Paris S-G,,Stade Auguste-Delaune II,Ruddy Buquet,Match Report,
2021,6,Fri,2020-10-02,21:00 (15:00),Paris S-G,2.1,6–1,0.9,Angers,,Parc des Princes,Franck Schneider,Match Report,
2021,6,Sat,2020-10-03,17:00 (11:00),Lens,1.9,2–0,0.1,Saint-Étienne,,Stade Bollaert-Delelis,Bastien Dechepy,Match Report,
2021,6,Sat,2020-10-03,21:00 (15:00),Nice,2.1,2–1,1.3,Nantes,,Stade de Nice,Jérôme Brisard,Match Report,
2021,6,Sun,2020-10-04,13:00 (07:00),Montpellier,0.7,0–1,0.5,Nîmes,,Stade de la Mosson,Benoît Millot,Match Report,
2021,6,Sun,2020-10-04,15:00 (09:00),Strasbourg,1.7,0–3,1.9,Lille,,Stade de la Meinau,Mikael Lesage,Match Report,
2021,6,Sun,2020-10-04,15:00 (09:00),Bordeaux,1.5,3–0,0.3,Dijon,,Stade Matmut-Atlantique,Antony Gautier,Match Report,
2021,6,Sun,2020-10-04,15:00 (09:00),Brest,1.0,1–0,1.1,Monaco,,Stade Francis-Le Blé,Johan Hamel,Match Report,
2021,6,Sun,2020-10-04,15:00 (09:00),Metz,1.7,3–1,0.8,Lorient,,Stade Saint-Symphorien,Jérôme Miguelgorry,Match Report,
2021,6,Sun,2020-10-04,17:00 (11:00),Rennes,2.0,2–2,1.2,Reims,,Roazhon Park,Florent Batta,Match Report,
2021,6,Sun,2020-10-04,21:00 (15:00),Lyon,3.2,1–1,0.2,Marseille,,Groupama Stadium,Stéphanie Frappart,Match Report,
2021,7,Fri,2020-10-16,19:00 (13:00),Dijon,0.9,1–1,1.0,Rennes,,Stade Gaston Gérard,Bastien Dechepy,Match Report,
2021,7,Fri,2020-10-16,21:00 (15:00),Nîmes,0.1,0–4,4.3,Paris S-G,,Stade des Costières,Clément Turpin,Match Report,
2021,7,Sat,2020-10-17,17:00 (11:00),Reims,0.4,1–3,2.6,Lorient,,Stade Auguste-Delaune II,Mikael Lesage,Match Report,
2021,7,Sat,2020-10-17,21:00 (15:00),Marseille,1.0,3–1,0.6,Bordeaux,,Orange Vélodrome,Franck Schneider,Match Report,
2021,7,Sun,2020-10-18,13:00 (07:00),Strasbourg,2.1,2–3,3.9,Lyon,,Stade de la Meinau,Ruddy Buquet,Match Report,
2021,7,Sun,2020-10-18,15:00 (09:00),Monaco,2.1,1–1,0.2,Montpellier,,Stade Louis II.,Hakim Ben El Hadj Salem,Match Report,
2021,7,Sun,2020-10-18,15:00 (09:00),Nantes,1.8,3–1,1.1,Brest,,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Match Report,
2021,7,Sun,2020-10-18,15:00 (09:00),Angers,1.1,1–1,1.2,Metz,,Stade Raymond Kopa,Aurélien Petit,Match Report,
2021,7,Sun,2020-10-18,17:00 (11:00),Saint-Étienne,0.8,1–3,2.3,Nice,,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
2021,7,Sun,2020-10-18,21:00 (15:00),Lille,2.6,4–0,0.4,Lens,,Stade Pierre-Mauroy,François Letexier,Match Report,
2021,8,Fri,2020-10-23,21:00 (15:00),Rennes,1.0,1–2,1.4,Angers,,Roazhon Park,Jérémie Pignard,Match Report,
2021,8,Sat,2020-10-24,17:00 (11:00),Lorient,0.5,0–1,1.3,Marseille,,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
2021,8,Sat,2020-10-24,21:00 (15:00),Paris S-G,4.6,4–0,1.7,Dijon,,Parc des Princes,Johan Hamel,Match Report,
2021,8,Sun,2020-10-25,15:00 (10:00),Bordeaux,2.3,2–0,0.9,Nîmes,,Stade Matmut-Atlantique,Bastien Dechepy,Match Report,
2021,8,Sun,2020-10-25,15:00 (10:00),Montpellier,0.2,0–4,4.0,Reims,,Stade de la Mosson,Willy Delajod,Match Report,
2021,8,Sun,2020-10-25,15:00 (10:00),Brest,0.9,0–3,1.1,Strasbourg,,Stade Francis-Le Blé,Jérôme Miguelgorry,Match Report,
2021,8,Sun,2020-10-25,15:00 (10:00),Metz,0.3,2–0,0.4,Saint-Étienne,5000,Stade Saint-Symphorien,Karim Abed,Match Report,
2021,8,Sun,2020-10-25,17:00 (12:00),Nice,1.0,1–1,0.5,Lille,,Stade de Nice,Franck Schneider,Match Report,
2021,8,Sun,2020-10-25,21:00 (16:00),Lyon,3.2,4–1,1.9,Monaco,,Groupama Stadium,Jérôme Brisard,Match Report,
2021,9,Sat,2020-10-31,17:00 (12:00),Rennes,1.5,2–1,0.7,Brest,,Roazhon Park,Stéphanie Frappart,Match Report,
2021,9,Sat,2020-10-31,21:00 (16:00),Nantes,1.7,0–3,2.1,Paris S-G,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
2021,9,Sun,2020-11-01,13:00 (07:00),Saint-Étienne,0.7,0–1,0.6,Montpellier,,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Match Report,
2021,9,Sun,2020-11-01,15:00 (09:00),Reims,0.7,2–1,1.9,Strasbourg,,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
2021,9,Sun,2020-11-01,15:00 (09:00),Dijon,0.4,0–0,1.1,Lorient,,Stade Gaston Gérard,Aurélien Petit,Match Report,
2021,9,Sun,2020-11-01,15:00 (09:00),Nîmes,1.1,0–1,1.5,Metz,,Stade des Costières,Amaury Delerue,Match Report,
2021,9,Sun,2020-11-01,15:00 (09:00),Angers,0.4,0–3,2.3,Nice,,Stade Raymond Kopa,Jeremy Stinat,Match Report,
2021,9,Sun,2020-11-01,17:00 (11:00),Monaco,3.0,4–0,0.3,Bordeaux,,Stade Louis II.,Ruddy Buquet,Match Report,
2021,9,Sun,2020-11-01,21:00 (15:00),Lille,0.5,1–1,0.8,Lyon,,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
2021,10,Fri,2020-11-06,21:00 (15:00),Strasbourg,0.3,0–1,0.1,Marseille,,Stade de la Meinau,Johan Hamel,Match Report,
2021,10,Sat,2020-11-07,17:00 (11:00),Bordeaux,0.6,0–2,1.5,Montpellier,,Stade Matmut-Atlantique,Antony Gautier,Match Report,
2021,10,Sat,2020-11-07,21:00 (15:00),Paris S-G,0.9,3–0,1.1,Rennes,,Parc des Princes,Benoît Bastien,Match Report,
2021,10,Sun,2020-11-08,13:00 (07:00),Brest,1.2,3–2,2.4,Lille,,Stade Francis-Le Blé,Florent Batta,Match Report,
2021,10,Sun,2020-11-08,15:00 (09:00),Nîmes,1.5,1–5,3.2,Angers,,Stade des Costières,Franck Schneider,Match Report,
