team,n,rank,w,d,l,gf,ga,gd,pts
AEK Athens,0,1,4,2,0,7,1,6,14
PAOK Salonik,0,2,2,2,2,10,6,4,8
P'thinaikos,0,3,2,1,3,6,10,-4,7
Panionios,0,4,1,1,4,4,10,-6,4
AEK Athens,1,1,4,2,0,7,1,6,14
PAOK Salonik,1,2,3,2,1,10,4,6,11
P'thinaikos,1,3,1,1,4,4,10,-6,4
Panionios,1,3,1,1,4,4,10,-6,4
AEK Athens,2,1,4,2,0,7,1,6,14
PAOK Salonik,2,2,2,2,2,9,6,3,8
P'thinaikos,2,3,2,1,3,6,9,-3,7
Panionios,2,4,1,1,4,4,10,-6,4
AEK Athens,3,1,4,2,0,7,1,6,14
PAOK Salonik,3,2,2,2,2,9,8,1,8
P'thinaikos,3,3,2,1,3,8,9,-1,7
Panionios,3,4,1,1,4,4,10,-6,4
AEK Athens,4,1,4,2,0,7,1,6,14
PAOK Salonik,4,2,3,2,1,10,4,6,11
P'thinaikos,4,3,1,1,4,4,10,-6,4
Panionios,4,3,1,1,4,4,10,-6,4
AEK Athens,5,1,4,2,0,7,1,6,14
PAOK Salonik,5,2,2,3,1,9,4,5,9
P'thinaikos,5,3,1,2,3,4,9,-5,5
Panionios,5,4,1,1,4,4,10,-6,4
AEK Athens,6,1,4,2,0,7,1,6,14
PAOK Salonik,6,2,2,3,1,9,4,5,9
P'thinaikos,6,3,1,2,3,4,9,-5,5
Panionios,6,4,1,1,4,4,10,-6,4
AEK Athens,7,1,4,2,0,7,1,6,14
PAOK Salonik,7,2,3,2,1,10,4,6,11
P'thinaikos,7,3,1,1,4,4,10,-6,4
Panionios,7,3,1,1,4,4,10,-6,4
AEK Athens,8,1,4,2,0,7,1,6,14
PAOK Salonik,8,2,2,3,1,10,5,5,9
P'thinaikos,8,3,1,2,3,5,10,-5,5
Panionios,8,4,1,1,4,4,10,-6,4
AEK Athens,9,1,4,2,0,7,1,6,14
PAOK Salonik,9,2,2,3,1,9,4,5,9
P'thinaikos,9,3,1,2,3,4,9,-5,5
Panionios,9,4,1,1,4,4,10,-6,4
AEK Athens,10,1,4,2,0,7,1,6,14
PAOK Salonik,10,2,2,3,1,10,5,5,9
P'thinaikos,10,3,1,2,3,5,10,-5,5
Panionios,10,4,1,1,4,4,10,-6,4
AEK Athens,11,1,4,2,0,7,1,6,14
PAOK Salonik,11,2,2,3,1,10,5,5,9
P'thinaikos,11,3,1,2,3,5,10,-5,5
Panionios,11,4,1,1,4,4,10,-6,4
AEK Athens,12,1,4,2,0,7,1,6,14
PAOK Salonik,12,2,3,2,1,11,5,6,11
P'thinaikos,12,3,1,1,4,5,11,-6,4
Panionios,12,4,1,1,4,4,10,-6,4
AEK Athens,13,1,4,2,0,7,1,6,14
PAOK Salonik,13,2,3,2,1,13,4,9,11
Panionios,13,3,1,1,4,4,10,-6,4
P'thinaikos,13,4,1,1,4,4,13,-9,4
AEK Athens,14,1,4,2,0,7,1,6,14
PAOK Salonik,14,2,2,3,1,10,5,5,9
P'thinaikos,14,3,1,2,3,5,10,-5,5
Panionios,14,4,1,1,4,4,10,-6,4
AEK Athens,15,1,4,2,0,7,1,6,14
PAOK Salonik,15,2,2,2,2,9,5,4,8
P'thinaikos,15,3,2,1,3,5,9,-4,7
Panionios,15,4,1,1,4,4,10,-6,4
AEK Athens,16,1,4,2,0,7,1,6,14
PAOK Salonik,16,2,3,2,1,11,4,7,11
Panionios,16,3,1,1,4,4,10,-6,4
P'thinaikos,16,4,1,1,4,4,11,-7,4
AEK Athens,17,1,4,2,0,7,1,6,14
PAOK Salonik,17,2,2,2,2,9,5,4,8
P'thinaikos,17,3,2,1,3,5,9,-4,7
Panionios,17,4,1,1,4,4,10,-6,4
AEK Athens,18,1,4,2,0,7,1,6,14
PAOK Salonik,18,2,2,2,2,10,7,3,8
P'thinaikos,18,3,2,1,3,7,10,-3,7
Panionios,18,4,1,1,4,4,10,-6,4
AEK Athens,19,1,4,2,0,7,1,6,14
PAOK Salonik,19,2,2,3,1,10,5,5,9
P'thinaikos,19,3,1,2,3,5,10,-5,5
Panionios,19,4,1,1,4,4,10,-6,4
AEK Athens,20,1,4,2,0,7,1,6,14
PAOK Salonik,20,2,2,2,2,9,5,4,8
P'thinaikos,20,3,2,1,3,5,9,-4,7
Panionios,20,4,1,1,4,4,10,-6,4
AEK Athens,21,1,4,2,0,7,1,6,14
PAOK Salonik,21,2,3,2,1,12,4,8,11
Panionios,21,3,1,1,4,4,10,-6,4
P'thinaikos,21,4,1,1,4,4,12,-8,4
AEK Athens,22,1,4,2,0,7,1,6,14
PAOK Salonik,22,2,2,3,1,9,4,5,9
P'thinaikos,22,3,1,2,3,4,9,-5,5
Panionios,22,4,1,1,4,4,10,-6,4
AEK Athens,23,1,4,2,0,7,1,6,14
PAOK Salonik,23,2,3,2,1,11,4,7,11
Panionios,23,3,1,1,4,4,10,-6,4
P'thinaikos,23,4,1,1,4,4,11,-7,4
AEK Athens,24,1,4,2,0,7,1,6,14
PAOK Salonik,24,2,3,2,1,12,5,7,11
Panionios,24,3,1,1,4,4,10,-6,4
P'thinaikos,24,4,1,1,4,5,12,-7,4
AEK Athens,25,1,4,2,0,7,1,6,14
PAOK Salonik,25,2,3,2,1,10,4,6,11
P'thinaikos,25,3,1,1,4,4,10,-6,4
Panionios,25,3,1,1,4,4,10,-6,4
AEK Athens,26,1,4,2,0,7,1,6,14
PAOK Salonik,26,2,3,2,1,10,4,6,11
P'thinaikos,26,3,1,1,4,4,10,-6,4
Panionios,26,3,1,1,4,4,10,-6,4
AEK Athens,27,1,4,2,0,7,1,6,14
PAOK Salonik,27,2,2,2,2,9,6,3,8
P'thinaikos,27,3,2,1,3,6,9,-3,7
Panionios,27,4,1,1,4,4,10,-6,4
AEK Athens,28,1,4,2,0,7,1,6,14
PAOK Salonik,28,2,2,3,1,9,4,5,9
P'thinaikos,28,3,1,2,3,4,9,-5,5
Panionios,28,4,1,1,4,4,10,-6,4
AEK Athens,29,1,4,2,0,7,1,6,14
PAOK Salonik,29,2,3,2,1,12,5,7,11
Panionios,29,3,1,1,4,4,10,-6,4
P'thinaikos,29,4,1,1,4,5,12,-7,4
AEK Athens,30,1,4,2,0,7,1,6,14
PAOK Salonik,30,2,2,3,1,9,4,5,9
P'thinaikos,30,3,1,2,3,4,9,-5,5
Panionios,30,4,1,1,4,4,10,-6,4
AEK Athens,31,1,4,2,0,7,1,6,14
PAOK Salonik,31,2,2,2,2,9,5,4,8
P'thinaikos,31,3,2,1,3,5,9,-4,7
Panionios,31,4,1,1,4,4,10,-6,4
