team,n,rank,w,d,l,gf,ga,gd,pts
St Mirren,0,1,23,5,8,64,37,27,74
Livingston,0,2,17,12,7,57,36,21,63
Dundee Utd,0,3,17,8,11,51,43,8,59
Dunfermline,0,4,15,11,10,57,37,20,56
Inverness CT,0,5,15,9,12,50,38,12,54
Morton,0,6,14,11,11,48,37,11,53
Queen of S't,0,7,14,10,12,59,52,7,52
Falkirk,0,8,12,11,13,46,50,-4,47
Dumbarton,0,9,8,9,19,29,60,-31,33
Brechin,0,10,0,4,32,19,90,-71,4
St Mirren,1,1,23,5,8,63,36,27,74
Livingston,1,2,18,11,7,58,36,22,65
Dundee Utd,1,3,17,7,12,51,44,7,58
Dunfermline,1,4,15,11,10,56,38,18,56
Inverness CT,1,5,15,9,12,50,38,12,54
Morton,1,6,14,11,11,48,37,11,53
Queen of S't,1,7,13,10,13,54,53,1,49
Falkirk,1,8,12,11,13,45,49,-4,47
Dumbarton,1,9,8,9,19,30,59,-29,33
Brechin,1,10,1,4,31,20,85,-65,7
St Mirren,2,1,23,5,8,63,37,26,74
Livingston,2,2,18,11,7,58,36,22,65
Dundee Utd,2,3,17,7,12,51,44,7,58
Inverness CT,2,4,16,9,11,51,37,14,57
Dunfermline,2,5,15,11,10,56,37,19,56
Queen of S't,2,6,14,10,12,55,52,3,52
Morton,2,7,13,11,12,47,38,9,50
Falkirk,2,8,12,11,13,46,49,-3,47
Dumbarton,2,9,8,9,19,29,59,-30,33
Brechin,2,10,0,4,32,19,86,-67,4
St Mirren,3,1,24,5,7,65,36,29,77
Livingston,3,2,18,11,7,58,35,23,65
Dunfermline,3,3,16,11,9,63,35,28,59
Dundee Utd,3,4,17,7,12,50,44,6,58
Inverness CT,3,5,16,9,11,53,38,15,57
Queen of S't,3,6,14,10,12,55,52,3,52
Morton,3,7,13,11,12,48,40,8,50
Falkirk,3,8,11,11,14,45,51,-6,44
Dumbarton,3,9,7,9,20,27,66,-39,30
Brechin,3,10,0,4,32,19,86,-67,4
St Mirren,4,1,24,5,7,66,36,30,77
Livingston,4,2,17,12,7,56,35,21,63
Dundee Utd,4,3,17,8,11,50,42,8,59
Dunfermline,4,4,15,12,9,56,35,21,57
Inverness CT,4,5,16,9,11,52,38,14,57
Queen of S't,4,6,14,10,12,57,52,5,52
Morton,4,7,13,11,12,48,39,9,50
Falkirk,4,8,11,11,14,45,52,-7,44
Dumbarton,4,9,7,10,19,27,59,-32,31
Brechin,4,10,0,4,32,19,88,-69,4
St Mirren,5,1,24,5,7,64,35,29,77
Livingston,5,2,17,11,8,56,37,19,62
Dundee Utd,5,3,18,7,11,52,42,10,61
Dunfermline,5,4,16,11,9,62,36,26,59
Inverness CT,5,5,16,9,11,51,37,14,57
Queen of S't,5,6,14,10,12,57,52,5,52
Morton,5,7,13,11,12,47,38,9,50
Falkirk,5,8,11,11,14,44,50,-6,44
Dumbarton,5,9,7,9,20,28,65,-37,30
Brechin,5,10,0,4,32,19,88,-69,4
St Mirren,6,1,23,5,8,63,37,26,74
Livingston,6,2,18,11,7,58,36,22,65
Dunfermline,6,3,16,11,9,57,35,22,59
Dundee Utd,6,4,17,7,12,51,44,7,58
Inverness CT,6,5,15,9,12,51,39,12,54
Morton,6,6,14,11,11,49,38,11,53
Queen of S't,6,7,13,11,12,55,53,2,50
Falkirk,6,8,12,11,13,46,49,-3,47
Dumbarton,6,9,7,9,20,27,60,-33,30
Brechin,6,10,0,5,31,20,86,-66,5
St Mirren,7,1,24,5,7,65,35,30,77
Livingston,7,2,17,11,8,57,37,20,62
Dundee Utd,7,3,18,7,11,52,43,9,61
Dunfermline,7,4,16,11,9,59,35,24,59
