    team    | p  | w  | d  | l  | gf | ga | gd  | pts 
------------+----+----+----+----+----+----+-----+-----
 Bayern     | 24 | 18 |  5 |  1 | 60 | 13 |  47 |  59
 RB Leipzig | 24 | 15 |  4 |  5 | 43 | 25 |  18 |  49
 Dortmund   | 24 | 12 |  7 |  5 | 53 | 27 |  26 |  43
 Hoffenheim | 24 | 10 | 12 |  2 | 45 | 25 |  20 |  42
 Hertha     | 24 | 12 |  4 |  8 | 32 | 26 |   6 |  40
 Frankfurt  | 24 | 10 |  5 |  9 | 26 | 27 |  -1 |  35
 Cologne    | 24 |  8 | 10 |  6 | 33 | 27 |   6 |  34
 Freiburg   | 24 | 10 |  4 | 10 | 31 | 41 | -10 |  34
 Gladbach   | 24 |  9 |  5 | 10 | 30 | 33 |  -3 |  32
 Leverkusen | 24 |  9 |  4 | 11 | 37 | 39 |  -2 |  31
 Schalke    | 24 |  8 |  6 | 10 | 31 | 27 |   4 |  30
 Mainz      | 24 |  8 |  5 | 11 | 33 | 40 |  -7 |  29
 Augsburg   | 24 |  7 |  7 | 10 | 23 | 33 | -10 |  28
 Wolfsburg  | 24 |  7 |  5 | 12 | 22 | 34 | -12 |  26
 Bremen     | 24 |  7 |  5 | 12 | 31 | 44 | -13 |  26
 Hamburg    | 24 |  7 |  5 | 12 | 24 | 46 | -22 |  26
 Ingolstadt | 24 |  5 |  4 | 15 | 23 | 41 | -18 |  19
 Darmstadt  | 24 |  4 |  3 | 17 | 17 | 46 | -29 |  15
(18 rows)

