    team     | p  | w  | d  | l  | gf  | ga | gd  | pts 
-------------+----+----+----+----+-----+----+-----+-----
 Real Madrid | 37 | 28 |  6 |  3 | 104 | 41 |  63 |  90
 Barcelona   | 37 | 27 |  6 |  4 | 112 | 35 |  77 |  87
 Atletico    | 37 | 22 |  9 |  6 |  67 | 26 |  41 |  75
 Sevilla     | 37 | 20 |  9 |  8 |  64 | 49 |  15 |  69
 Villarreal  | 37 | 18 | 10 |  9 |  53 | 32 |  21 |  64
 Athletic    | 37 | 19 |  6 | 12 |  52 | 40 |  12 |  63
 R Sociedad  | 37 | 19 |  6 | 12 |  57 | 51 |   6 |  63
 Eibar       | 37 | 15 |  9 | 13 |  54 | 47 |   7 |  54
 Alavés      | 37 | 14 | 12 | 11 |  40 | 42 |  -2 |  54
 Espanyol    | 37 | 14 | 11 | 12 |  47 | 49 |  -2 |  53
 Málaga      | 37 | 12 | 10 | 15 |  49 | 53 |  -4 |  46
 Valencia    | 37 | 13 |  7 | 17 |  55 | 62 |  -7 |  46
 Celta Vigo  | 37 | 13 |  5 | 19 |  51 | 67 | -16 |  44
 Las Palmas  | 37 | 10 |  9 | 18 |  53 | 71 | -18 |  39
 Betis       | 37 | 10 |  8 | 19 |  39 | 62 | -23 |  38
 Leganes     | 37 |  8 | 10 | 19 |  35 | 54 | -19 |  34
 Deportivo   | 37 |  7 | 12 | 18 |  40 | 61 | -21 |  33
 Sporting    | 37 |  7 |  9 | 21 |  40 | 70 | -30 |  30
 Osasuna     | 37 |  4 | 10 | 23 |  40 | 89 | -49 |  22
 Granada     | 37 |  4 |  8 | 25 |  29 | 80 | -51 |  20
(20 rows)

