team,n,rank,w,d,l,gf,ga,gd,pts
FC Salzburg,0,1,23,4,9,71,33,38,73
SC Rheindorf,0,2,20,7,9,53,37,16,67
Vienna,0,3,21,2,13,68,54,14,65
SK Sturm Gra,0,4,20,4,12,58,37,21,64
Rapid Vienna,0,5,14,11,11,51,35,16,53
RZ Pellets W,0,6,14,7,15,49,52,-3,49
Admira Wacke,0,7,12,6,18,35,52,-17,42
Mattersburg,0,8,9,8,19,33,57,-24,35
St. Pölten,0,9,8,8,20,38,67,-29,32
SV Josko Rie,0,10,8,5,23,36,68,-32,29
FC Salzburg,1,1,20,7,9,65,34,31,67
SK Sturm Gra,1,2,20,7,9,58,33,25,67
Vienna,1,3,21,4,11,69,46,23,67
SC Rheindorf,1,4,18,9,9,55,40,15,63
Rapid Vienna,1,5,11,14,11,50,39,11,47
Admira Wacke,1,6,13,7,16,42,59,-17,46
St. Pölten,1,7,13,7,16,45,64,-19,46
RZ Pellets W,1,8,10,7,19,42,58,-16,37
SV Josko Rie,1,9,10,5,21,36,56,-20,35
Mattersburg,1,10,6,9,21,30,63,-33,27
FC Salzburg,2,1,21,9,6,67,26,41,72
SK Sturm Gra,2,2,21,6,9,54,31,23,69
Vienna,2,3,21,5,10,68,43,25,68
SC Rheindorf,2,4,17,8,11,52,45,7,59
RZ Pellets W,2,5,13,7,16,51,53,-2,46
Admira Wacke,2,6,12,7,17,31,56,-25,43
Rapid Vienna,2,7,10,12,14,51,45,6,42
St. Pölten,2,8,9,8,19,39,64,-25,35
Mattersburg,2,9,9,8,19,30,55,-25,35
SV Josko Rie,2,10,10,4,22,35,60,-25,34
FC Salzburg,3,1,24,6,6,76,30,46,78
SC Rheindorf,3,2,20,10,6,56,37,19,70
Vienna,3,3,19,5,12,69,56,13,62
Rapid Vienna,3,4,15,10,11,54,40,14,55
SK Sturm Gra,3,5,15,7,14,54,43,11,52
St. Pölten,3,6,13,6,17,47,61,-14,45
Admira Wacke,3,7,11,8,17,33,54,-21,41
RZ Pellets W,3,8,10,8,18,43,56,-13,38
Mattersburg,3,9,8,8,20,31,52,-21,32
SV Josko Rie,3,10,9,4,23,27,61,-34,31
FC Salzburg,4,1,22,7,7,72,30,42,73
SC Rheindorf,4,2,22,6,8,60,40,20,72
Vienna,4,3,21,5,10,71,47,24,68
SK Sturm Gra,4,4,18,6,12,56,36,20,60
Admira Wacke,4,5,11,9,16,33,50,-17,42
St. Pölten,4,6,11,9,16,45,66,-21,42
Rapid Vienna,4,7,9,14,13,49,45,4,41
RZ Pellets W,4,8,10,8,18,42,63,-21,38
Mattersburg,4,9,9,7,20,34,54,-20,34
SV Josko Rie,4,10,9,5,22,30,61,-31,32
FC Salzburg,5,1,23,6,7,73,29,44,75
SC Rheindorf,5,2,20,8,8,57,38,19,68
Vienna,5,3,18,7,11,67,57,10,61
SK Sturm Gra,5,4,16,8,12,46,36,10,56
Rapid Vienna,5,5,13,11,12,53,37,16,50
RZ Pellets W,5,6,12,8,16,40,49,-9,44
Admira Wacke,5,7,11,9,16,34,54,-20,42
SV Josko Rie,5,8,10,7,19,36,59,-23,37
