team,n,rank,w,d,l,gf,ga,gd,pts
Raith,0,1,23,8,5,69,32,37,77
Ayr,0,2,24,4,8,92,42,50,76
Arbroath,0,3,18,8,10,74,49,25,62
Alloa,0,4,17,8,11,56,44,12,59
Stranraer,0,5,15,5,16,57,67,-10,50
East Fife,0,6,14,3,19,50,66,-16,45
Airdrieon,0,7,10,12,14,45,58,-13,42
Forfar,0,8,10,6,20,38,64,-26,36
Albion,0,9,8,6,22,57,80,-23,30
Queen's Park,0,10,6,10,20,40,76,-36,28
Raith,1,1,23,8,5,72,34,38,77
Ayr,1,2,24,4,8,95,42,53,76
Arbroath,1,3,18,8,10,72,48,24,62
Alloa,1,4,17,8,11,58,47,11,59
Stranraer,1,5,15,6,15,56,65,-9,51
East Fife,1,6,13,4,19,48,65,-17,43
Airdrieon,1,7,10,11,15,45,59,-14,41
Forfar,1,8,11,5,20,39,64,-25,38
Albion,1,9,8,6,22,57,83,-26,30
Queen's Park,1,10,6,10,20,39,74,-35,28
Raith,2,1,23,8,5,70,32,38,77
Ayr,2,2,24,4,8,94,45,49,76
Arbroath,2,3,17,8,11,70,49,21,59
Alloa,2,4,17,8,11,56,45,11,59
Stranraer,2,5,15,6,15,57,66,-9,51
East Fife,2,6,13,4,19,49,66,-17,43
Airdrieon,2,7,10,11,15,45,60,-15,41
Forfar,2,8,11,5,20,40,64,-24,38
Queen's Park,2,9,7,10,19,40,72,-32,31
Albion,2,10,8,6,22,60,82,-22,30
Raith,3,1,23,8,5,71,34,37,77
Ayr,3,2,23,4,9,91,44,47,73
Arbroath,3,3,17,8,11,70,49,21,59
Alloa,3,4,17,8,11,58,46,12,59
Stranraer,3,5,15,6,15,56,65,-9,51
East Fife,3,6,13,4,19,48,65,-17,43
Airdrieon,3,7,10,12,14,47,60,-13,42
Forfar,3,8,10,6,20,40,66,-26,36
Albion,3,9,9,6,21,59,79,-20,33
Queen's Park,3,10,7,10,19,40,72,-32,31
Ayr,4,1,24,4,8,92,43,49,76
Raith,4,2,22,8,6,68,34,34,74
Alloa,4,3,18,8,10,58,43,15,62
Arbroath,4,4,17,8,11,70,50,20,59
Stranraer,4,5,16,5,15,56,64,-8,53
Airdrieon,4,6,11,11,14,48,59,-11,44
East Fife,4,7,13,3,20,47,65,-18,42
Forfar,4,8,10,5,21,39,67,-28,35
Queen's Park,4,9,7,10,19,41,72,-31,31
Albion,4,10,8,6,22,58,80,-22,30
Raith,5,1,23,8,5,71,33,38,77
Ayr,5,2,24,4,8,98,42,56,76
Arbroath,5,3,17,8,11,71,51,20,59
Alloa,5,4,17,8,11,57,46,11,59
Stranraer,5,5,15,5,16,55,68,-13,50
East Fife,5,6,14,3,19,51,64,-13,45
Airdrieon,5,7,11,11,14,46,58,-12,44
Forfar,5,8,10,5,21,38,65,-27,35
Queen's Park,5,9,7,10,19,42,73,-31,31
Albion,5,10,8,6,22,57,86,-29,30
Ayr,6,1,24,4,8,92,42,50,76
Raith,6,2,22,8,6,68,34,34,74
Alloa,6,3,18,8,10,58,43,15,62
Arbroath,6,4,17,9,10,71,49,22,60
Stranraer,6,5,16,5,15,57,64,-7,53
Airdrieon,6,6,10,12,14,47,60,-13,42
East Fife,6,7,13,3,20,47,66,-19,42
Forfar,6,8,10,6,20,40,66,-26,36
Albion,6,9,8,6,22,57,80,-23,30
Queen's Park,6,10,6,11,19,40,73,-33,29
Ayr,7,1,24,4,8,94,44,50,76
Raith,7,2,22,9,5,69,33,36,75
Alloa,7,3,17,9,10,57,44,13,60
Arbroath,7,4,17,8,11,71,51,20,59
Stranraer,7,5,15,6,15,56,65,-9,51
East Fife,7,6,13,4,19,48,65,-17,43
Airdrieon,7,7,10,12,14,47,60,-13,42
Forfar,7,8,10,6,20,40,66,-26,36
Queen's Park,7,9,7,10,19,42,73,-31,31
Albion,7,10,8,6,22,59,82,-23,30
Ayr,8,1,23,5,8,91,43,48,74
Raith,8,2,22,8,6,69,34,35,74
Alloa,8,3,18,8,10,58,44,14,62
Arbroath,8,4,17,9,10,70,48,22,60
