team,n,rank,w,d,l,gf,ga,gd,pts
Brondby,0,1,20,7,3,70,33,37,67
FC Midtjylla,0,2,19,4,7,63,44,19,61
FC Nords,0,3,14,7,9,70,51,19,49
Copenhagen,0,4,14,4,12,59,48,11,46
AaB,0,5,9,11,10,45,41,4,38
AC Horsens,0,6,7,13,10,37,53,-16,34
Sonderjyske,0,7,8,6,10,28,29,-1,30
Lyngby,0,8,4,9,11,27,44,-17,21
Randers FC,0,9,5,6,13,23,40,-17,21
Silkeborg IF,0,10,6,3,13,30,48,-18,21
AGF Aarhus,0,11,4,6,12,20,41,-21,18
Brondby,1,1,20,6,4,69,34,35,66
FC Midtjylla,1,2,18,6,6,63,40,23,60
FC Nords,1,3,15,7,8,70,49,21,52
Copenhagen,1,4,14,5,11,61,45,16,47
AaB,1,5,8,12,10,35,39,-4,36
AC Horsens,1,6,6,14,10,36,53,-17,32
Sonderjyske,1,7,8,6,10,28,29,-1,30
Lyngby,1,8,4,9,11,29,44,-15,21
Randers FC,1,9,5,6,13,23,42,-19,21
AGF Aarhus,1,10,5,6,11,18,37,-19,21
Silkeborg IF,1,11,5,3,14,26,46,-20,18
Brondby,2,1,20,8,2,75,33,42,68
FC Midtjylla,2,2,20,6,4,68,36,32,66
FC Nords,2,3,12,11,7,71,50,21,47
Copenhagen,2,4,14,5,11,60,47,13,47
AaB,2,5,7,13,10,37,42,-5,34
Sonderjyske,2,6,8,6,10,28,29,-1,30
AC Horsens,2,7,5,13,12,33,62,-29,28
Randers FC,2,8,6,6,12,26,39,-13,24
Silkeborg IF,2,9,6,3,13,27,44,-17,21
Lyngby,2,10,3,9,12,26,47,-21,18
AGF Aarhus,2,11,4,6,12,16,38,-22,18
Brondby,3,1,20,7,3,74,34,40,67
FC Midtjylla,3,2,19,6,5,63,39,24,63
Copenhagen,3,3,13,8,9,58,43,15,47
FC Nords,3,4,13,7,10,74,53,21,46
AC Horsens,3,5,7,14,9,38,52,-14,35
AaB,3,6,6,14,10,33,45,-12,32
Sonderjyske,3,7,8,6,10,28,29,-1,30
Lyngby,3,8,4,9,11,27,44,-17,21
Randers FC,3,9,5,6,13,23,40,-17,21
Silkeborg IF,3,10,5,4,13,26,45,-19,19
AGF Aarhus,3,11,4,7,11,17,37,-20,19
Brondby,4,1,21,5,4,74,36,38,68
FC Midtjylla,4,2,19,4,7,62,42,20,61
Copenhagen,4,3,17,4,9,63,43,20,55
FC Nords,4,4,15,6,9,72,52,20,51
AC Horsens,4,5,6,13,11,41,56,-15,31
Sonderjyske,4,6,8,6,10,28,29,-1,30
AaB,4,7,6,12,12,36,45,-9,30
Randers FC,4,8,5,7,12,25,41,-16,22
AGF Aarhus,4,9,5,6,11,17,36,-19,21
Lyngby,4,10,3,10,11,28,46,-18,19
Silkeborg IF,4,11,5,3,14,25,45,-20,18
Brondby,5,1,21,6,3,68,29,39,69
FC Midtjylla,5,2,20,5,5,66,38,28,65
FC Nords,5,3,14,7,9,76,52,24,49
Copenhagen,5,4,15,4,11,59,46,13,49
AaB,5,5,7,13,10,36,42,-6,34
Sonderjyske,5,6,8,6,10,28,29,-1,30
AC Horsens,5,7,5,13,12,31,55,-24,28
