     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Union Berlin | 25 | 15 |  5 |  5 | 40 | 24 |  16 |  50
 Stuttgart    | 25 | 15 |  4 |  6 | 41 | 26 |  15 |  49
 B'weig       | 25 | 13 |  8 |  4 | 40 | 27 |  13 |  47
 Hannover     | 25 | 13 |  7 |  5 | 40 | 29 |  11 |  46
 D Dresden    | 25 | 11 |  8 |  6 | 39 | 29 |  10 |  41
 Greuther Fur | 25 | 10 |  6 |  9 | 27 | 32 |  -5 |  36
 Heidenheimer | 25 |  9 |  8 |  8 | 36 | 27 |   9 |  35
 F Düsseldorf | 25 |  8 |  9 |  8 | 27 | 26 |   1 |  33
 Sandhausen   | 25 |  8 |  8 |  9 | 32 | 28 |   4 |  32
 Nurnberg     | 25 |  9 |  5 | 11 | 36 | 39 |  -3 |  32
 VfL Bochum   | 25 |  7 | 10 |  8 | 33 | 38 |  -5 |  31
 Würzburger K | 25 |  7 |  8 | 10 | 26 | 28 |  -2 |  29
 1860 Munich  | 25 |  8 |  4 | 13 | 30 | 35 |  -5 |  28
 K'lautern    | 25 |  6 | 10 |  9 | 20 | 25 |  -5 |  28
 St Pauli     | 25 |  6 |  7 | 12 | 24 | 30 |  -6 |  25
 Bielefeld    | 25 |  5 |  8 | 12 | 31 | 43 | -12 |  23
 Erzgebirge   | 25 |  5 |  8 | 12 | 25 | 43 | -18 |  23
 Karlsruhe    | 25 |  4 |  9 | 12 | 19 | 37 | -18 |  21
(18 rows)

