     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Man City     | 21 | 19 |  2 |  0 | 61 | 12 |  49 |  59
 Chelsea      | 21 | 14 |  3 |  4 | 39 | 14 |  25 |  45
 Man Utd      | 21 | 13 |  5 |  3 | 43 | 16 |  27 |  44
 Liverpool    | 21 | 11 |  8 |  2 | 48 | 24 |  24 |  41
 Arsenal      | 21 | 11 |  5 |  5 | 38 | 26 |  12 |  38
 Tottenham    | 20 | 11 |  4 |  5 | 39 | 20 |  19 |  37
 Burnley      | 21 |  9 |  7 |  5 | 18 | 17 |   1 |  34
 Leicester    | 21 |  7 |  6 |  8 | 31 | 32 |  -1 |  27
 Everton      | 21 |  7 |  6 |  8 | 25 | 32 |  -7 |  27
 Watford      | 21 |  7 |  4 | 10 | 30 | 37 |  -7 |  25
 Huddersfield | 21 |  6 |  6 |  9 | 18 | 32 | -14 |  24
 Brighton     | 21 |  5 |  7 |  9 | 15 | 25 | -10 |  22
 Southampton  | 21 |  4 |  8 |  9 | 20 | 30 | -10 |  20
 Bournemouth  | 21 |  5 |  5 | 11 | 20 | 32 | -12 |  20
 Stoke        | 21 |  5 |  5 | 11 | 23 | 46 | -23 |  20
 Newcastle    | 21 |  5 |  4 | 12 | 19 | 30 | -11 |  19
 C Palace     | 21 |  4 |  7 | 10 | 18 | 32 | -14 |  19
 West Ham     | 20 |  4 |  6 | 10 | 22 | 38 | -16 |  18
 West Brom    | 21 |  2 | 10 |  9 | 15 | 28 | -13 |  16
 Swansea      | 21 |  4 |  4 | 13 | 13 | 32 | -19 |  16
(20 rows)

