team,n,rank,w,d,l,gf,ga,gd,pts
Loko Moscow,0,1,11,6,3,31,15,16,39
Spart Moscow,0,2,11,5,4,41,27,14,38
CSKA Moscow,0,3,11,3,6,33,18,15,36
Zenit,0,4,8,9,3,23,14,9,33
Krasnodar,0,5,9,5,6,31,26,5,32
Terek Grozny,0,6,7,6,7,20,23,-3,27
FK Rubin,0,7,5,7,8,22,18,4,22
Din Moscow,0,8,5,7,8,17,23,-6,22
Rostov,0,9,4,6,10,10,19,-9,18
Amkar,0,10,4,5,11,11,26,-15,17
Anzhi,0,11,3,5,12,15,45,-30,14
Loko Moscow,1,1,11,6,3,30,14,16,39
CSKA Moscow,1,2,11,3,6,27,18,9,36
Spart Moscow,1,3,10,5,5,38,26,12,35
Zenit,1,4,9,8,3,24,13,11,35
Krasnodar,1,5,9,5,6,31,25,6,32
Terek Grozny,1,6,7,7,6,24,26,-2,28
Din Moscow,1,7,5,7,8,17,23,-6,22
FK Rubin,1,8,5,6,9,21,20,1,21
Rostov,1,9,5,6,9,11,17,-6,21
Amkar,1,10,4,5,11,12,28,-16,17
Anzhi,1,11,2,6,12,15,40,-25,12
Spart Moscow,2,1,11,5,4,43,26,17,38
Loko Moscow,2,2,11,5,4,30,15,15,38
CSKA Moscow,2,3,11,4,5,29,19,10,37
Zenit,2,4,8,9,3,23,13,10,33
Krasnodar,2,5,9,5,6,29,25,4,32
Terek Grozny,2,6,8,5,7,22,24,-2,29
FK Rubin,2,7,6,6,8,23,17,6,24
Din Moscow,2,8,5,6,9,17,26,-9,21
Amkar,2,9,5,4,11,12,26,-14,19
Rostov,2,10,4,6,10,10,21,-11,18
Anzhi,2,11,2,5,13,16,42,-26,11
Loko Moscow,3,1,12,6,2,33,14,19,42
CSKA Moscow,3,2,11,3,6,27,20,7,36
Zenit,3,3,8,8,4,24,15,9,32
Spart Moscow,3,4,8,6,6,35,29,6,30
Krasnodar,3,5,8,5,7,32,30,2,29
Terek Grozny,3,6,7,6,7,22,27,-5,27
FK Rubin,3,7,7,5,8,29,21,8,26
Din Moscow,3,8,5,7,8,19,26,-7,22
Amkar,3,9,6,4,10,13,22,-9,22
Rostov,3,10,5,6,9,12,18,-6,21
Anzhi,3,11,2,6,12,17,41,-24,12
Loko Moscow,4,1,12,5,3,31,14,17,41
CSKA Moscow,4,2,11,3,6,27,19,8,36
Zenit,4,3,8,8,4,24,16,8,32
Spart Moscow,4,4,9,5,6,36,29,7,32
Krasnodar,4,5,9,4,7,29,25,4,31
Terek Grozny,4,6,8,6,6,25,24,1,30
FK Rubin,4,7,7,5,8,24,17,7,26
Rostov,4,8,5,6,9,12,17,-5,21
Din Moscow,4,9,5,6,9,17,25,-8,21
Amkar,4,10,5,5,10,13,25,-12,20
Anzhi,4,11,2,5,13,14,41,-27,11
