     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Feyenoord    | 17 | 13 |  3 |  1 | 47 | 12 |  35 |  42
 Ajax         | 17 | 11 |  4 |  2 | 35 | 13 |  22 |  37
 PSV          | 17 |  9 |  7 |  1 | 25 |  8 |  17 |  34
 Heerenveen   | 17 |  8 |  5 |  4 | 32 | 20 |  12 |  29
 AZ Alkmaar   | 17 |  7 |  7 |  3 | 29 | 23 |   6 |  28
 FC Utrecht   | 17 |  6 |  7 |  4 | 26 | 22 |   4 |  25
 FC Twente    | 17 |  6 |  6 |  5 | 26 | 23 |   3 |  24
 Vitesse      | 17 |  6 |  5 |  6 | 24 | 22 |   2 |  23
 SC Heracles  | 17 |  5 |  6 |  6 | 21 | 25 |  -4 |  21
 FC Groningen | 17 |  5 |  5 |  7 | 23 | 25 |  -2 |  20
 Willem II    | 17 |  4 |  7 |  6 | 12 | 19 |  -7 |  19
 NEC          | 17 |  4 |  7 |  6 | 18 | 28 | -10 |  19
 Sp Rotterdam | 17 |  4 |  5 |  8 | 22 | 29 |  -7 |  17
 ADO Den Haag | 17 |  5 |  2 | 10 | 16 | 29 | -13 |  17
 Excelsior    | 17 |  4 |  4 |  9 | 23 | 32 |  -9 |  16
 PEC Zwolle   | 17 |  3 |  5 |  9 | 13 | 34 | -21 |  14
 Roda JC      | 17 |  1 | 10 |  6 |  8 | 21 | -13 |  13
 Go Ahead     | 17 |  3 |  3 | 11 | 14 | 29 | -15 |  12
(18 rows)

