team,n,rank,w,d,l,gf,ga,gd,pts
Sydney FC,0,1,21,4,3,66,23,43,67
N'castle Jet,0,2,15,6,7,59,39,20,51
Melbourne C,0,3,14,5,10,45,35,10,47
Melbourne V,0,4,13,5,11,46,40,6,44
Adelaide Utd,0,5,11,6,11,37,40,-3,39
Brisbane,0,6,10,5,13,33,42,-9,35
Western Sydn,0,7,8,9,10,38,47,-9,33
Perth Glory,0,8,10,2,15,37,50,-13,32
Wellington P,0,9,5,6,16,31,55,-24,21
CC Mariners,0,10,4,8,15,28,49,-21,20
Sydney FC,1,1,21,4,3,66,23,43,67
N'castle Jet,1,2,16,5,7,59,37,22,53
Melbourne C,1,3,14,4,11,43,35,8,46
Melbourne V,1,4,13,5,11,46,40,6,44
Adelaide Utd,1,5,11,6,11,37,40,-3,39
Brisbane,1,6,10,5,13,33,42,-9,35
Western Sydn,1,7,8,9,10,38,47,-9,33
Perth Glory,1,8,10,2,15,37,50,-13,32
Wellington P,1,9,5,6,16,31,55,-24,21
CC Mariners,1,10,4,8,15,28,49,-21,20
Sydney FC,2,1,21,4,3,66,22,44,67
N'castle Jet,2,2,15,6,7,59,39,20,51
Melbourne C,2,3,14,5,10,45,35,10,47
Melbourne V,2,4,13,5,11,45,40,5,44
Adelaide Utd,2,5,11,6,11,37,40,-3,39
Brisbane,2,6,10,5,13,33,42,-9,35
Western Sydn,2,7,8,9,10,38,47,-9,33
Perth Glory,2,8,10,2,15,37,50,-13,32
Wellington P,2,9,5,6,16,31,55,-24,21
CC Mariners,2,10,4,8,15,28,49,-21,20
Sydney FC,3,1,20,4,4,65,24,41,64
N'castle Jet,3,2,15,5,8,58,41,17,50
Melbourne C,3,3,15,4,10,47,34,13,49
Melbourne V,3,4,14,5,10,47,39,8,47
Adelaide Utd,3,5,11,6,11,37,40,-3,39
Brisbane,3,6,10,5,13,33,42,-9,35
Western Sydn,3,7,8,9,10,38,47,-9,33
Perth Glory,3,8,10,2,15,37,50,-13,32
Wellington P,3,9,5,6,16,31,55,-24,21
CC Mariners,3,10,4,8,15,28,49,-21,20
Sydney FC,4,1,21,4,3,67,22,45,67
N'castle Jet,4,2,15,5,8,58,39,19,50
Melbourne C,4,3,15,4,10,45,34,11,49
Melbourne V,4,4,13,5,11,45,41,4,44
Adelaide Utd,4,5,11,6,11,37,40,-3,39
Brisbane,4,6,10,5,13,33,42,-9,35
Western Sydn,4,7,8,9,10,38,47,-9,33
Perth Glory,4,8,10,2,15,37,50,-13,32
Wellington P,4,9,5,6,16,31,55,-24,21
CC Mariners,4,10,4,8,15,28,49,-21,20
Sydney FC,5,1,21,4,3,67,23,44,67
N'castle Jet,5,2,16,5,7,63,37,26,53
Melbourne C,5,3,14,4,11,43,39,4,46
Melbourne V,5,4,13,5,11,46,41,5,44
Adelaide Utd,5,5,11,6,11,37,40,-3,39
Brisbane,5,6,10,5,13,33,42,-9,35
Western Sydn,5,7,8,9,10,38,47,-9,33
Perth Glory,5,8,10,2,15,37,50,-13,32
Wellington P,5,9,5,6,16,31,55,-24,21
CC Mariners,5,10,4,8,15,28,49,-21,20
Sydney FC,6,1,21,4,3,65,22,43,67
N'castle Jet,6,2,16,5,7,58,37,21,53
Melbourne C,6,3,14,4,11,43,34,9,46
Melbourne V,6,4,13,5,11,45,39,6,44
Adelaide Utd,6,5,11,6,11,37,40,-3,39
Brisbane,6,6,10,5,13,33,42,-9,35
Western Sydn,6,7,8,9,10,38,47,-9,33
Perth Glory,6,8,10,2,15,37,50,-13,32
Wellington P,6,9,5,6,16,31,55,-24,21
CC Mariners,6,10,4,8,15,28,49,-21,20
Sydney FC,7,1,20,4,4,65,24,41,64
N'castle Jet,7,2,15,5,8,57,38,19,50
Melbourne C,7,3,15,4,10,44,33,11,49
Melbourne V,7,4,14,5,10,47,39,8,47
Adelaide Utd,7,5,11,6,11,37,40,-3,39
Brisbane,7,6,10,5,13,33,42,-9,35
Western Sydn,7,7,8,9,10,38,47,-9,33
Perth Glory,7,8,10,2,15,37,50,-13,32
Wellington P,7,9,5,6,16,31,55,-24,21
CC Mariners,7,10,4,8,15,28,49,-21,20
Sydney FC,8,1,21,4,3,66,23,43,67
N'castle Jet,8,2,16,5,7,60,39,21,53
Melbourne C,8,3,14,4,11,45,36,9,46
Melbourne V,8,4,13,5,11,46,40,6,44
Adelaide Utd,8,5,11,6,11,37,40,-3,39
Brisbane,8,6,10,5,13,33,42,-9,35
Western Sydn,8,7,8,9,10,38,47,-9,33
Perth Glory,8,8,10,2,15,37,50,-13,32
Wellington P,8,9,5,6,16,31,55,-24,21
CC Mariners,8,10,4,8,15,28,49,-21,20
Sydney FC,9,1,21,4,3,68,25,43,67
N'castle Jet,9,2,15,6,7,58,38,20,51
Melbourne C,9,3,14,5,10,44,34,10,47
Melbourne V,9,4,13,5,11,48,42,6,44
Adelaide Utd,9,5,11,6,11,37,40,-3,39
Brisbane,9,6,10,5,13,33,42,-9,35
Western Sydn,9,7,8,9,10,38,47,-9,33
Perth Glory,9,8,10,2,15,37,50,-13,32
Wellington P,9,9,5,6,16,31,55,-24,21
CC Mariners,9,10,4,8,15,28,49,-21,20
Sydney FC,10,1,20,4,4,64,24,40,64
N'castle Jet,10,2,16,5,7,59,38,21,53
Melbourne V,10,3,14,5,10,47,38,9,47
Melbourne C,10,4,14,4,11,44,35,9,46
Adelaide Utd,10,5,11,6,11,37,40,-3,39
Brisbane,10,6,10,5,13,33,42,-9,35
Western Sydn,10,7,8,9,10,38,47,-9,33
Perth Glory,10,8,10,2,15,37,50,-13,32
Wellington P,10,9,5,6,16,31,55,-24,21
CC Mariners,10,10,4,8,15,28,49,-21,20
Sydney FC,11,1,21,4,3,66,22,44,67
N'castle Jet,11,2,16,5,7,59,38,21,53
Melbourne C,11,3,14,4,11,44,35,9,46
Melbourne V,11,4,13,5,11,45,40,5,44
Adelaide Utd,11,5,11,6,11,37,40,-3,39
Brisbane,11,6,10,5,13,33,42,-9,35
Western Sydn,11,7,8,9,10,38,47,-9,33
Perth Glory,11,8,10,2,15,37,50,-13,32
Wellington P,11,9,5,6,16,31,55,-24,21
CC Mariners,11,10,4,8,15,28,49,-21,20
Sydney FC,12,1,21,4,3,69,23,46,67
N'castle Jet,12,2,16,5,7,62,37,25,53
Melbourne C,12,3,14,4,11,43,38,5,46
Melbourne V,12,4,13,5,11,46,43,3,44
Adelaide Utd,12,5,11,6,11,37,40,-3,39
Brisbane,12,6,10,5,13,33,42,-9,35
Western Sydn,12,7,8,9,10,38,47,-9,33
Perth Glory,12,8,10,2,15,37,50,-13,32
Wellington P,12,9,5,6,16,31,55,-24,21
CC Mariners,12,10,4,8,15,28,49,-21,20
Sydney FC,13,1,21,4,3,68,24,44,67
N'castle Jet,13,2,15,6,7,58,38,20,51
Melbourne C,13,3,14,5,10,44,34,10,47
Melbourne V,13,4,13,5,11,47,42,5,44
Adelaide Utd,13,5,11,6,11,37,40,-3,39
Brisbane,13,6,10,5,13,33,42,-9,35
Western Sydn,13,7,8,9,10,38,47,-9,33
Perth Glory,13,8,10,2,15,37,50,-13,32
Wellington P,13,9,5,6,16,31,55,-24,21
CC Mariners,13,10,4,8,15,28,49,-21,20
Sydney FC,14,1,20,5,3,64,22,42,65
N'castle Jet,14,2,16,5,7,60,38,22,53
Melbourne C,14,3,14,4,11,44,36,8,46
Melbourne V,14,4,13,6,10,45,38,7,45
Adelaide Utd,14,5,11,6,11,37,40,-3,39
Brisbane,14,6,10,5,13,33,42,-9,35
Western Sydn,14,7,8,9,10,38,47,-9,33
Perth Glory,14,8,10,2,15,37,50,-13,32
Wellington P,14,9,5,6,16,31,55,-24,21
CC Mariners,14,10,4,8,15,28,49,-21,20
Sydney FC,15,1,21,4,3,65,22,43,67
N'castle Jet,15,2,16,5,7,60,38,22,53
Melbourne C,15,3,14,4,11,44,36,8,46
Melbourne V,15,4,13,5,11,45,39,6,44
Adelaide Utd,15,5,11,6,11,37,40,-3,39
Brisbane,15,6,10,5,13,33,42,-9,35
Western Sydn,15,7,8,9,10,38,47,-9,33
Perth Glory,15,8,10,2,15,37,50,-13,32
Wellington P,15,9,5,6,16,31,55,-24,21
CC Mariners,15,10,4,8,15,28,49,-21,20
Sydney FC,16,1,20,4,4,64,24,40,64
N'castle Jet,16,2,16,5,7,59,38,21,53
Melbourne V,16,3,14,5,10,47,38,9,47
Melbourne C,16,4,14,4,11,44,35,9,46
Adelaide Utd,16,5,11,6,11,37,40,-3,39
Brisbane,16,6,10,5,13,33,42,-9,35
Western Sydn,16,7,8,9,10,38,47,-9,33
Perth Glory,16,8,10,2,15,37,50,-13,32
Wellington P,16,9,5,6,16,31,55,-24,21
CC Mariners,16,10,4,8,15,28,49,-21,20
Sydney FC,17,1,20,5,3,65,23,42,65
N'castle Jet,17,2,16,5,7,59,37,22,53
Melbourne C,17,3,14,4,11,43,35,8,46
Melbourne V,17,4,13,6,10,46,39,7,45
Adelaide Utd,17,5,11,6,11,37,40,-3,39
Brisbane,17,6,10,5,13,33,42,-9,35
Western Sydn,17,7,8,9,10,38,47,-9,33
Perth Glory,17,8,10,2,15,37,50,-13,32
Wellington P,17,9,5,6,16,31,55,-24,21
CC Mariners,17,10,4,8,15,28,49,-21,20
Sydney FC,18,1,21,4,3,66,23,43,67
N'castle Jet,18,2,15,5,8,58,39,19,50
Melbourne C,18,3,15,4,10,45,34,11,49
Melbourne V,18,4,13,5,11,46,40,6,44
Adelaide Utd,18,5,11,6,11,37,40,-3,39
Brisbane,18,6,10,5,13,33,42,-9,35
Western Sydn,18,7,8,9,10,38,47,-9,33
Perth Glory,18,8,10,2,15,37,50,-13,32
Wellington P,18,9,5,6,16,31,55,-24,21
CC Mariners,18,10,4,8,15,28,49,-21,20
Sydney FC,19,1,20,5,3,66,24,42,65
N'castle Jet,19,2,16,5,7,61,38,23,53
Melbourne C,19,3,14,4,11,44,37,7,46
Melbourne V,19,4,13,6,10,47,40,7,45
Adelaide Utd,19,5,11,6,11,37,40,-3,39
Brisbane,19,6,10,5,13,33,42,-9,35
Western Sydn,19,7,8,9,10,38,47,-9,33
Perth Glory,19,8,10,2,15,37,50,-13,32
Wellington P,19,9,5,6,16,31,55,-24,21
CC Mariners,19,10,4,8,15,28,49,-21,20
Sydney FC,20,1,21,4,3,68,23,45,67
N'castle Jet,20,2,16,5,7,58,37,21,53
Melbourne C,20,3,14,4,11,43,34,9,46
Melbourne V,20,4,13,5,11,46,42,4,44
Adelaide Utd,20,5,11,6,11,37,40,-3,39
Brisbane,20,6,10,5,13,33,42,-9,35
Western Sydn,20,7,8,9,10,38,47,-9,33
Perth Glory,20,8,10,2,15,37,50,-13,32
Wellington P,20,9,5,6,16,31,55,-24,21
CC Mariners,20,10,4,8,15,28,49,-21,20
Sydney FC,21,1,21,4,3,67,23,44,67
N'castle Jet,21,2,16,5,7,60,37,23,53
Melbourne C,21,3,14,4,11,43,36,7,46
Melbourne V,21,4,13,5,11,46,41,5,44
