     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Newcastle    | 38 | 24 |  6 |  8 | 70 | 32 |  38 |  78
 Brighton     | 38 | 23 |  8 |  7 | 63 | 33 |  30 |  77
 Huddersfield | 37 | 22 |  5 | 10 | 47 | 43 |   4 |  71
 Leeds        | 38 | 21 |  6 | 11 | 52 | 36 |  16 |  69
 Reading      | 38 | 20 |  7 | 11 | 51 | 49 |   2 |  67
 Sheff Wed    | 38 | 18 |  8 | 12 | 48 | 39 |   9 |  62
 Fulham       | 38 | 16 | 13 |  9 | 66 | 47 |  19 |  61
 Norwich      | 38 | 16 |  9 | 13 | 65 | 56 |   9 |  57
 Preston      | 38 | 15 | 12 | 11 | 53 | 47 |   6 |  57
 Derby        | 38 | 14 | 11 | 13 | 41 | 38 |   3 |  53
 Barnsley     | 38 | 14 |  9 | 15 | 55 | 55 |   0 |  51
 Aston Villa  | 38 | 13 | 12 | 13 | 39 | 39 |   0 |  51
 Cardiff      | 38 | 14 |  9 | 15 | 53 | 54 |  -1 |  51
 Brentford    | 38 | 14 |  8 | 16 | 60 | 57 |   3 |  50
 QPR          | 38 | 14 |  8 | 16 | 46 | 51 |  -5 |  50
 Wolves       | 37 | 12 |  9 | 16 | 46 | 48 |  -2 |  45
 Ipswich      | 38 | 10 | 15 | 13 | 38 | 47 |  -9 |  45
 Birmingham   | 38 | 11 | 12 | 15 | 38 | 54 | -16 |  45
 Bristol City | 38 | 11 |  8 | 19 | 50 | 53 |  -3 |  41
 Nottm Forest | 38 | 11 |  8 | 19 | 53 | 64 | -11 |  41
 Burton       | 38 | 10 | 11 | 17 | 39 | 53 | -14 |  41
 Blackburn    | 38 |  9 | 13 | 16 | 46 | 57 | -11 |  40
 Wigan        | 38 |  8 | 10 | 20 | 31 | 44 | -13 |  34
 Rotherham    | 38 |  4 |  5 | 29 | 33 | 87 | -54 |  17
(24 rows)

