          team           | p | w | d | l | gf | ga | gd | pts 
-------------------------+---+---+---+---+----+----+----+-----
 Huddersfield Town       | 6 | 5 | 1 | 0 |  9 |  4 |  5 |  16
 Newcastle United        | 6 | 4 | 0 | 2 | 10 |  4 |  6 |  12
 Barnsley                | 6 | 4 | 0 | 2 | 14 |  9 |  5 |  12
 Birmingham City         | 6 | 3 | 2 | 1 |  8 |  5 |  3 |  11
 Norwich City            | 6 | 3 | 2 | 1 |  9 |  7 |  2 |  11
 Fulham                  | 6 | 3 | 2 | 1 |  7 |  5 |  2 |  11
 Queens Park Rangers     | 6 | 3 | 1 | 2 |  9 |  6 |  3 |  10
 Brentford               | 6 | 3 | 1 | 2 |  7 |  4 |  3 |  10
 Bristol City            | 6 | 3 | 1 | 2 |  9 |  7 |  2 |  10
 Nottingham Forest       | 6 | 3 | 1 | 2 | 13 | 13 |  0 |  10
 Reading                 | 6 | 3 | 1 | 2 |  7 |  9 | -2 |  10
 Wolverhampton Wanderers | 6 | 2 | 3 | 1 |  8 |  5 |  3 |   9
 Brighton & Hove Albion  | 6 | 2 | 2 | 2 |  8 |  6 |  2 |   8
 Burton Albion           | 6 | 2 | 2 | 2 | 11 | 10 |  1 |   8
 Ipswich Town            | 6 | 2 | 2 | 2 |  7 |  7 |  0 |   8
 Sheffield Wednesday     | 6 | 2 | 2 | 2 |  5 |  7 | -2 |   8
 Aston Villa             | 6 | 1 | 3 | 2 |  7 |  7 |  0 |   6
 Cardiff City            | 6 | 1 | 2 | 3 |  6 |  9 | -3 |   5
 Derby County            | 6 | 1 | 2 | 3 |  1 |  5 | -4 |   5
 Rotherham United        | 6 | 1 | 2 | 3 |  5 | 14 | -9 |   5
 Wigan Athletic          | 6 | 1 | 1 | 4 |  9 | 10 | -1 |   4
 Leeds United            | 6 | 1 | 1 | 4 |  5 | 10 | -5 |   4
 Preston North End       | 6 | 1 | 0 | 5 |  4 |  7 | -3 |   3
 Blackburn Rovers        | 6 | 0 | 2 | 4 |  5 | 13 | -8 |   2
(24 rows)

