     team     | p | w | d | l | gf | ga | gd | pts 
--------------+---+---+---+---+----+----+----+-----
 Huddersfield | 7 | 5 | 1 | 1 |  9 |  5 |  4 |  16
 Newcastle    | 7 | 5 | 0 | 2 | 16 |  4 | 12 |  15
 Barnsley     | 7 | 5 | 0 | 2 | 18 |  9 |  9 |  15
 Norwich      | 7 | 4 | 2 | 1 | 11 |  8 |  3 |  14
 Birmingham   | 7 | 3 | 3 | 1 |  8 |  5 |  3 |  12
 Fulham       | 7 | 3 | 3 | 1 |  8 |  6 |  2 |  12
 Brighton     | 7 | 3 | 2 | 2 |  9 |  6 |  3 |  11
 Brentford    | 7 | 3 | 2 | 2 |  8 |  5 |  3 |  11
 Ipswich      | 7 | 3 | 2 | 2 |  8 |  7 |  1 |  11
 Nottm Forest | 7 | 3 | 2 | 2 | 15 | 15 |  0 |  11
 Sheff Wed    | 7 | 3 | 2 | 2 |  8 |  9 | -1 |  11
 Reading      | 7 | 3 | 2 | 2 |  7 |  9 | -2 |  11
 Bristol City | 7 | 3 | 1 | 3 | 11 | 10 |  1 |  10
 QPR          | 7 | 3 | 1 | 3 |  9 | 12 | -3 |  10
 Burton       | 7 | 2 | 3 | 2 | 12 | 11 |  1 |   9
 Wolves       | 7 | 2 | 3 | 2 |  8 |  9 | -1 |   9
 Aston Villa  | 7 | 1 | 4 | 2 |  8 |  8 |  0 |   7
 Leeds        | 7 | 2 | 1 | 4 |  7 | 11 | -4 |   7
 Preston      | 7 | 2 | 0 | 5 |  7 |  7 |  0 |   6
 Rotherham    | 7 | 1 | 3 | 3 |  7 | 16 | -9 |   6
 Derby        | 7 | 1 | 2 | 4 |  1 |  6 | -5 |   5
 Cardiff      | 7 | 1 | 2 | 4 |  6 | 12 | -6 |   5
 Wigan        | 7 | 1 | 1 | 5 | 10 | 12 | -2 |   4
 Blackburn    | 7 | 0 | 2 | 5 |  6 | 15 | -9 |   2
(24 rows)

