419980,360,DA020E,Manchester United,191,0051BA,San Jose Earthquakes
419981,363,034694,Chelsea,109,792DCD,Fiorentina
419983,360,DA020E,Manchester United,160,000040,Paris Saint-Germain 
419985,363,034694,Chelsea,83,951D27,Barcelona
419987,160,000040,Paris Saint-Germain ,363,034694,Chelsea
419988,83,951D27,Barcelona,360,DA020E,Manchester United
419990,190,D50031,New York Red Bulls,363,034694,Chelsea
419994,227,001C58,America,360,DA020E,Manchester United
420347,382,5CBFEB,Manchester City,86,1a1a1a,Real Madrid
420348,104,9f0000,AS Roma,382,5CBFEB,Manchester City
422285,359,EF0107,Arsenal,362,7A003C,Aston Villa
422286,360,DA020E,Manchester United,349,1a1a1a,AFC Bournemouth
422287,376,ED1A3B,Southampton,384,034694,Crystal Palace
422288,363,034694,Chelsea,375,1a1a1a,Leicester City
422289,383,091453,West Bromwich Albion,364,D00027,Liverpool
422290,318,000000,Swansea City,382,5CBFEB,Manchester City
422291,368,274488,Everton,381,00a94f,Norwich City
422292,395,ffff00,Watford,366,EB172B,Sunderland
422293,361,5CBFEB,Newcastle United,367,000033,Tottenham Hotspur
422294,336,E03A3E,Stoke City,371,60223B,West Ham United
422295,382,5CBFEB,Manchester City,359,EF0107,Arsenal
422296,366,EB172B,Sunderland,363,034694,Chelsea
422297,375,0053A0,Leicester City,368,1a1a1a,Everton
422298,381,00a94f,Norwich City,360,DA020E,Manchester United
422299,362,7A003C,Aston Villa,361,5CBFEB,Newcastle United
422300,367,000033,Tottenham Hotspur,376,ED1A3B,Southampton
422301,384,C4122E,Crystal Palace,336,000000,Stoke City
422302,371,60223B,West Ham United,318,000000,Swansea City
422303,364,D00027,Liverpool,395,ffff00,Watford
422304,349,C8142F,AFC Bournemouth,383,091453,West Bromwich Albion
422305,395,ffff00,Watford,362,7A003C,Aston Villa
422306,368,274488,Everton,349,C8142F,AFC Bournemouth
422307,361,5CBFEB,Newcastle United,384,C4122E,Crystal Palace
422308,360,DA020E,Manchester United,375,0053A0,Leicester City
422309,318,000000,Swansea City,364,D00027,Liverpool
422310,376,ED1A3B,Southampton,382,5CBFEB,Manchester City
422311,359,EF0107,Arsenal,381,00a94f,Norwich City
422312,336,E03A3E,Stoke City,366,41a317,Sunderland
422313,363,034694,Chelsea,367,000033,Tottenham Hotspur
422314,383,091453,West Bromwich Albion,371,60223B,West Ham United
422315,366,EB172B,Sunderland,359,ffff00,Arsenal
422316,349,C8142F,AFC Bournemouth,363,034694,Chelsea
422317,384,C4122E,Crystal Palace,368,274488,Everton
422318,371,60223B,West Ham United,360,DA020E,Manchester United
422319,364,D00027,Liverpool,361,5CBFEB,Newcastle United
422320,362,7A003C,Aston Villa,376,ED1A3B,Southampton
422321,382,5CBFEB,Manchester City,336,E03A3E,Stoke City
422322,375,0053A0,Leicester City,318,000000,Swansea City
422323,381,00a94f,Norwich City,395,ffff00,Watford
422324,367,000033,Tottenham Hotspur,383,C60000,West Bromwich Albion
422325,360,DA020E,Manchester United,362,7A003C,Aston Villa
422326,359,EF0107,Arsenal,384,034694,Crystal Palace
422327,349,C8142F,AFC Bournemouth,364,1a1a1a,Liverpool
422328,363,034694,Chelsea,382,5CBFEB,Manchester City
422329,368,274488,Everton,376,ED1A3B,Southampton
422330,381,00a94f,Norwich City,366,EB172B,Sunderland
422331,361,5CBFEB,Newcastle United,318,000000,Swansea City
422332,336,E03A3E,Stoke City,367,000033,Tottenham Hotspur
422333,383,091453,West Bromwich Albion,395,ffff00,Watford
422334,375,0053A0,Leicester City,371,60223B,West Ham United
422335,371,60223B,West Ham United,359,EF0107,Arsenal
422336,362,7A003C,Aston Villa,349,C8142F,AFC Bournemouth
422337,318,000000,Swansea City,363,034694,Chelsea
422338,395,ffff00,Watford,368,274488,Everton
422339,366,EB172B,Sunderland,375,0053A0,Leicester City
422340,367,000033,Tottenham Hotspur,360,DA020E,Manchester United
422341,376,ED1A3B,Southampton,361,5CBFEB,Newcastle United
422342,384,C4122E,Crystal Palace,381,00a94f,Norwich City
422343,364,D00027,Liverpool,336,000000,Stoke City
422344,382,5CBFEB,Manchester City,383,091453,West Bromwich Albion
422345,362,7A003C,Aston Villa,363,034694,Chelsea
422346,371,60223B,West Ham United,384,C4122E,Crystal Palace
422347,360,DA020E,Manchester United,368,274488,Everton
422348,349,C8142F,AFC Bournemouth,382,5CBFEB,Manchester City
422349,381,00a94f,Norwich City,361,5CBFEB,Newcastle United
422350,375,0053A0,Leicester City,376,ED1A3B,Southampton
422351,336,E03A3E,Stoke City,318,000000,Swansea City
422352,364,D00027,Liverpool,367,000033,Tottenham Hotspur
422353,359,EF0107,Arsenal,395,ffff00,Watford
422354,366,EB172B,Sunderland,383,091453,West Bromwich Albion
422355,368,274488,Everton,359,EF0107,Arsenal
422356,318,000000,Swansea City,362,7A003C,Aston Villa
422357,367,000033,Tottenham Hotspur,349,C8142F,AFC Bournemouth
422358,384,C4122E,Crystal Palace,375,0053A0,Leicester City
