494927,2017,primera+division+b+de+argentina,14074,000000,Comunicaciones (Mercedes),10157,000099,San Telmo
494928,2017,primera+division+b+de+argentina,10161,000000,Talleres de Remedios de Escalada,10163,000099,Tristán Suárez
494929,2017,primera+division+b+de+argentina,17701,000000,Deportivo Español,10145,000099,Acassuso
494930,2017,primera+division+b+de+argentina,10163,000000,Tristán Suárez,10060,000099,Barracas Central
494931,2017,primera+division+b+de+argentina,10058,000000,San Miguel,10151,000099,Defensores de Belgrano
494932,2017,primera+division+b+de+argentina,10146,000000,Atlanta,10053,000099,Fénix
494933,2017,primera+division+b+de+argentina,14074,000000,Comunicaciones (Mercedes),7764,000099,Platense
494934,2017,primera+division+b+de+argentina,9740,000000,Almirante Brown,10051,000099,Sacachispas
494935,2017,primera+division+b+de+argentina,17352,000000,Estudiantes de Caseros,10161,000099,Talleres de Remedios de Escalada
494936,2017,primera+division+b+de+argentina,10149,000000,Colegiales,17705,C60000,UAI Urquiza
494937,2017,primera+division+b+de+argentina,10157,000000,San Telmo,10052,000099,San Carlos
494938,2017,primera+division+b+de+argentina,10151,000000,Defensores de Belgrano,9740,000099,Almirante Brown
494939,2017,primera+division+b+de+argentina,10145,000000,Acassuso,10146,000099,Atlanta
494940,2017,primera+division+b+de+argentina,10053,000000,Fénix,10149,000099,Colegiales
494941,2017,primera+division+b+de+argentina,10052,000000,San Carlos,14074,C60000,Comunicaciones (Mercedes)
494943,2017,primera+division+b+de+argentina,10060,000000,Barracas Central,17352,C60000,Estudiantes de Caseros
494944,2017,primera+division+b+de+argentina,10161,000000,Talleres de Remedios de Escalada,10058,000099,San Miguel
494945,2017,primera+division+b+de+argentina,17705,000000,UAI Urquiza,10157,000099,San Telmo
494946,2017,primera+division+b+de+argentina,7764,000000,Platense,10163,000099,Tristán Suárez
494947,2017,primera+division+b+de+argentina,10149,000000,Colegiales,10145,000099,Acassuso
494948,2017,primera+division+b+de+argentina,10058,000000,San Miguel,10060,000099,Barracas Central
494949,2017,primera+division+b+de+argentina,17701,000000,Deportivo Español,10151,000099,Defensores de Belgrano
494950,2017,primera+division+b+de+argentina,10157,000000,San Telmo,10053,000099,Fénix
494951,2017,primera+division+b+de+argentina,10052,000000,San Carlos,7764,000099,Platense
494952,2017,primera+division+b+de+argentina,10146,000000,Atlanta,10051,000099,Sacachispas
494953,2017,primera+division+b+de+argentina,9740,000000,Almirante Brown,10161,000099,Talleres de Remedios de Escalada
494954,2017,primera+division+b+de+argentina,17352,000000,Estudiantes de Caseros,10163,000099,Tristán Suárez
494956,2017,primera+division+b+de+argentina,10060,000000,Barracas Central,9740,000099,Almirante Brown
494957,2017,primera+division+b+de+argentina,10151,000000,Defensores de Belgrano,10146,000099,Atlanta
494958,2017,primera+division+b+de+argentina,10051,000000,Sacachispas,10149,000099,Colegiales
494959,2017,primera+division+b+de+argentina,10053,000000,Fénix,14074,C60000,Comunicaciones (Mercedes)
494960,2017,primera+division+b+de+argentina,10161,000000,Talleres de Remedios de Escalada,17701,C60000,Deportivo Español
