team,rank,n
Leicester City,1,62100
Tottenham Hotspur,1,14896
Manchester City,1,13357
Arsenal,1,9262
Manchester United,1,257
West Ham United,1,113
Southampton,1,17
Everton,1,7
Tottenham Hotspur,2,28123
Manchester City,2,27553
Leicester City,2,22555
Arsenal,2,19478
Manchester United,2,1382
West Ham United,2,663
Southampton,2,142
Everton,2,98
Liverpool,2,11
Watford,2,2
Stoke City,2,1
Chelsea,2,1
Manchester City,3,28540
Tottenham Hotspur,3,27214
Arsenal,3,26164
Leicester City,3,10307
Manchester United,3,4136
West Ham United,3,2341
Southampton,3,644
Everton,3,524
Liverpool,3,68
Watford,3,28
Crystal Palace,3,17
Stoke City,3,14
Chelsea,3,6
West Bromwich Albion,3,1
AFC Bournemouth,3,1
Arsenal,4,29456
Manchester City,4,21614
Tottenham Hotspur,4,20745
Manchester United,4,10691
West Ham United,4,7299
Leicester City,4,4076
Everton,4,2694
Southampton,4,2529
Liverpool,4,397
Watford,4,164
Crystal Palace,4,119
Stoke City,4,119
Chelsea,4,81
AFC Bournemouth,4,7
West Bromwich Albion,4,7
Swansea City,4,1
Manchester United,5,27341
West Ham United,5,21771
Everton,5,10955
Arsenal,5,10383
Southampton,5,9783
Tottenham Hotspur,5,6327
Manchester City,5,6317
Liverpool,5,2436
Watford,5,1222
Crystal Palace,5,931
Stoke City,5,923
Leicester City,5,780
Chelsea,5,666
AFC Bournemouth,5,135
West Bromwich Albion,5,31
Swansea City,5,16
Norwich City,5,1
West Ham United,6,22224
Manchester United,6,21920
Everton,6,15938
Southampton,6,15725
Liverpool,6,5715
Arsenal,6,3586
Watford,6,3064
Stoke City,6,2593
Crystal Palace,6,2527
Chelsea,6,2017
Tottenham Hotspur,6,1912
Manchester City,6,1864
AFC Bournemouth,6,520
West Bromwich Albion,6,164
Leicester City,6,150
Swansea City,6,80
Norwich City,6,11
Sunderland,6,3
Southampton,7,17881
Everton,7,17594
West Ham United,7,17100
Manchester United,7,14872
Liverpool,7,9690
Watford,7,5413
Stoke City,7,4574
Crystal Palace,7,4527
Chelsea,7,3948
AFC Bournemouth,7,1281
Arsenal,7,1179
Tottenham Hotspur,7,588
Manchester City,7,543
West Bromwich Albion,7,432
Swansea City,7,251
Norwich City,7,57
Leicester City,7,25
Sunderland,7,18
Newcastle United,7,14
Southampton,8,16338
Everton,8,15928
Liverpool,8,12863
West Ham United,8,11751
Manchester United,8,9088
Watford,8,8418
Stoke City,8,7199
Crystal Palace,8,7096
Chelsea,8,6429
AFC Bournemouth,8,2422
West Bromwich Albion,8,976
Swansea City,8,569
Arsenal,8,360
Norwich City,8,169
Manchester City,8,160
Tottenham Hotspur,8,143
Sunderland,8,50
Newcastle United,8,46
Leicester City,8,5
Aston Villa,8,2
Liverpool,9,14685
Southampton,9,12837
Everton,9,12350
Watford,9,10920
Stoke City,9,9907
Crystal Palace,9,9831
Chelsea,9,9035
West Ham United,9,7303
Manchester United,9,5149
AFC Bournemouth,9,4005
West Bromwich Albion,9,1937
Swansea City,9,1258
Norwich City,9,380
Newcastle United,9,129
Sunderland,9,126
Arsenal,9,94
Tottenham Hotspur,9,38
Manchester City,9,34
Leicester City,9,2
Liverpool,10,14094
Watford,10,12968
Stoke City,10,12004
Crystal Palace,10,11689
Chelsea,10,11209
Southampton,10,9047
Everton,10,8976
AFC Bournemouth,10,5921
West Ham United,10,4337
West Bromwich Albion,10,3277
Manchester United,10,2746
Swansea City,10,2283
Norwich City,10,761
Newcastle United,10,332
Sunderland,10,289
Arsenal,10,24
Manchester City,10,14
Tottenham Hotspur,10,12
Aston Villa,10,5
Watford,11,13462
Crystal Palace,11,13086
Stoke City,11,12860
Chelsea,11,12600
Liverpool,11,12149
AFC Bournemouth,11,8033
Southampton,11,6253
Everton,11,6195
West Bromwich Albion,11,4942
Swansea City,11,3812
West Ham United,11,2519
Norwich City,11,1400
Manchester United,11,1358
Newcastle United,11,742
Sunderland,11,569
Aston Villa,11,14
Arsenal,11,13
Manchester City,11,3
Tottenham Hotspur,11,2
Stoke City,12,13026
Chelsea,12,12904
Crystal Palace,12,12885
Watford,12,12761
AFC Bournemouth,12,10426
Liverpool,12,9910
West Bromwich Albion,12,7274
Swansea City,12,5753
Southampton,12,4050
Everton,12,3985
Norwich City,12,2478
West Ham United,12,1394
Newcastle United,12,1380
Sunderland,12,1108
Manchester United,12,652
Aston Villa,12,21
Arsenal,12,1
AFC Bournemouth,13,12768
Chelsea,13,12163
Crystal Palace,13,11956
Stoke City,13,11950
Watford,13,10938
West Bromwich Albion,13,10211
Swansea City,13,8129
Liverpool,13,7520
Norwich City,13,4132
Southampton,13,2500
Newcastle United,13,2406
Everton,13,2334
Sunderland,13,1945
West Ham United,13,705
Manchester United,13,266
Aston Villa,13,74
Manchester City,13,1
AFC Bournemouth,14,13807
West Bromwich Albion,14,13174
Swansea City,14,11437
Chelsea,14,10406
Crystal Palace,14,9930
Stoke City,14,9866
Watford,14,8622
Norwich City,14,6543
Liverpool,14,5106
Newcastle United,14,4342
Sunderland,14,3537
Everton,14,1331
Southampton,14,1311
West Ham United,14,307
Aston Villa,14,188
Manchester United,14,106
West Bromwich Albion,15,16019
Swansea City,15,14760
AFC Bournemouth,15,13382
Norwich City,15,9624
Chelsea,15,7840
Newcastle United,15,7537
Stoke City,15,7061
Crystal Palace,15,6989
Sunderland,15,6063
Watford,15,5877
Liverpool,15,2944
Everton,15,699
Southampton,15,615
Aston Villa,15,440
West Ham United,15,126
Manchester United,15,28
Swansea City,16,16656
West Bromwich Albion,16,15718
Norwich City,16,13515
AFC Bournemouth,16,11754
Newcastle United,16,11465
Sunderland,16,9706
Chelsea,16,5397
Crystal Palace,16,4551
Stoke City,16,4430
Watford,16,3570
Liverpool,16,1558
Aston Villa,16,1104
Everton,16,279
Southampton,16,227
West Ham United,16,41
Manchester United,16,8
Norwich City,17,18052
Newcastle United,17,17195
Swansea City,17,15529
Sunderland,17,15068
West Bromwich Albion,17,12768
AFC Bournemouth,17,8271
Chelsea,17,3174
Aston Villa,17,2665
Crystal Palace,17,2444
Stoke City,17,2233
Watford,17,1756
Liverpool,17,646
Everton,17,91
Southampton,17,88
West Ham United,17,4
Newcastle United,18,22830
Sunderland,18,21375
Norwich City,18,19864
Swansea City,18,11543
West Bromwich Albion,18,8490
Aston Villa,18,6551
AFC Bournemouth,18,4896
Chelsea,18,1506
Crystal Palace,18,1099
Stoke City,18,956
Watford,18,653
Liverpool,18,175
Everton,18,21
Southampton,18,13
West Ham United,18,2
Sunderland,19,28347
Newcastle United,19,23080
Norwich City,19,17659
Aston Villa,19,17217
Swansea City,19,6430
West Bromwich Albion,19,3934
AFC Bournemouth,19,2022
Chelsea,19,558
Crystal Palace,19,300
Stoke City,19,260
Watford,19,151
Liverpool,19,30
Everton,19,1
Aston Villa,20,71719
Sunderland,20,11796
Newcastle United,20,8502
Norwich City,20,5354
Swansea City,20,1493
West Bromwich Albion,20,645
AFC Bournemouth,20,349
Chelsea,20,60
Stoke City,20,24
Crystal Palace,20,23
Watford,20,11
Liverpool,20,3
