team,rank,w,d,l,pts
AFC Bournemouth,12.7,12.2,10.9,14.9,47.4
Arsenal,3.8,18.4,9.7,9.9,64.8
Aston Villa,19.7,6.2,11.2,20.7,29.7
Chelsea,11.6,12.3,11.9,13.8,48.7
Crystal Palace,11.6,13.6,8.1,16.3,49.0
Everton,9.4,12.5,14.5,10.0,52.0
Leicester City,1.5,20.9,11.4,5.8,73.9
Liverpool,10.1,13.5,10.8,12.6,51.5
Manchester City,2.8,19.9,7.9,9.2,67.7
Manchester United,6.0,16.0,10.8,11.2,58.8
Newcastle United,17.8,9.2,9.8,18.0,37.4
Norwich City,16.2,10.8,9.0,18.2,41.4
Southampton,8.8,14.1,10.9,13.0,53.2
Stoke City,10.9,13.4,10.1,14.5,50.3
Sunderland,17.5,10.0,8.0,20.0,38.0
Swansea City,15.3,10.2,12.1,15.7,42.8
Tottenham Hotspur,3.0,18.1,12.7,7.2,67.0
Watford,10.8,13.4,10.1,14.6,50.2
West Bromwich Albion,14.5,10.8,12.0,15.2,44.5
West Ham United,6.1,15.2,12.9,9.9,58.6
