Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sun,2019-09-15,16:00 (10:00),Celta Vigo,0.2,0–2,1.1,Granada,18259,Estadio de Balaídos,Eduardo Prieto,Match Report,
4,Sun,2019-09-15,18:30 (12:30),Valladolid,0.7,1–1,1.9,Osasuna,20670,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
4,Sun,2019-09-15,21:00 (15:00),Betis,0.9,1–1,1.4,Getafe,47884,Estadio Benito Villamarín,José González,Match Report,
5,Fri,2019-09-20,21:00 (15:00),Osasuna,1.5,0–0,0.4,Betis,15569,Estadio El Sadar,Carlos del Cerro,Match Report,
5,Sat,2019-09-21,13:00 (07:00),Villarreal,2.0,2–0,0.5,Valladolid,16195,Estadio de la Cerámica,César Soto,Match Report,
5,Sat,2019-09-21,16:00 (10:00),Levante,1.1,0–0,1.4,Eibar,18904,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
5,Sat,2019-09-21,18:30 (12:30),Atlético Madrid,1.1,0–0,0.4,Celta Vigo,57701,Estadio Wanda Metropolitano,Mario Melero,Match Report,
5,Sat,2019-09-21,21:00 (15:00),Granada,1.7,2–0,0.7,Barcelona,18880,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Match Report,
5,Sun,2019-09-22,12:00 (06:00),Getafe,2.0,4–2,0.7,Mallorca,11338,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
5,Sun,2019-09-22,14:00 (08:00),Espanyol,1.0,1–3,1.1,Real Sociedad,19173,RCDE Stadium,Adrián Cordero,Match Report,
5,Sun,2019-09-22,16:00 (10:00),Valencia,1.4,1–1,0.9,Leganés,39014,Estadio de Mestalla,Javier Estrada,Match Report,
5,Sun,2019-09-22,18:30 (12:30),Athletic Club,2.3,2–0,0.5,Alavés,45143,San Mamés,Jesús Gil,Match Report,
5,Sun,2019-09-22,21:00 (15:00),Sevilla,0.4,0–1,0.9,Real Madrid,42354,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
6,Tue,2019-09-24,19:00 (13:00),Valladolid,1.3,1–1,0.4,Granada,18410,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
6,Tue,2019-09-24,20:00 (14:00),Betis,2.7,3–1,1.2,Levante,44560,Estadio Benito Villamarín,Eduardo Prieto,Match Report,
6,Tue,2019-09-24,21:00 (15:00),Barcelona,0.7,2–1,0.5,Villarreal,70316,Camp Nou,Ricardo de Burgos,Match Report,
6,Wed,2019-09-25,19:00 (13:00),Mallorca,0.5,0–2,1.0,Atlético Madrid,19348,Iberostar Estadi,Alejandro Hernández,Match Report,
6,Wed,2019-09-25,19:00 (13:00),Leganés,0.4,1–1,1.1,Athletic Club,11036,Estadio Municipal de Butarque,José González,Match Report,
6,Wed,2019-09-25,20:00 (14:00),Valencia,1.1,3–3,1.8,Getafe,37814,Estadio de Mestalla,José Luis Munuera,Match Report,
6,Wed,2019-09-25,21:00 (15:00),Real Madrid,1.2,2–0,0.1,Osasuna,57520,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
6,Thu,2019-09-26,19:00 (13:00),Eibar,1.6,3–2,1.6,Sevilla,5434,Estadio Municipal de Ipurúa,Pablo González,Match Report,
6,Thu,2019-09-26,20:00 (14:00),Celta Vigo,0.7,1–1,1.4,Espanyol,16361,Estadio de Balaídos,José Sánchez,Match Report,
6,Thu,2019-09-26,21:00 (15:00),Real Sociedad,3.1,3–0,0.2,Alavés,28720,Estadio Municipal de Anoeta,David Medié,Match Report,
7,Fri,2019-09-27,21:00 (15:00),Villarreal,3.0,5–1,0.9,Betis,18135,Estadio de la Cerámica,Javier Estrada,Match Report,
7,Sat,2019-09-28,13:00 (07:00),Athletic Club,1.1,0–1,1.7,Valencia,42420,San Mamés,Mario Melero,Match Report,
7,Sat,2019-09-28,16:00 (10:00),Getafe,0.6,0–2,1.4,Barcelona,15135,Coliseum Alfonso Pérez,Jesús Gil,Match Report,
7,Sat,2019-09-28,18:30 (12:30),Granada,0.7,1–0,1.1,Leganés,15519,Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
7,Sat,2019-09-28,21:00 (15:00),Atlético Madrid,0.5,0–0,0.4,Real Madrid,68032,Estadio Wanda Metropolitano,José González,Match Report,
7,Sun,2019-09-29,12:00 (06:00),Espanyol,1.1,0–2,1.5,Valladolid,20911,RCDE Stadium,Guillermo Cuadra,Match Report,
7,Sun,2019-09-29,14:00 (08:00),Eibar,0.8,2–0,0.9,Celta Vigo,5453,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
7,Sun,2019-09-29,16:00 (10:00),Alavés,1.8,2–0,0.1,Mallorca,17135,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
7,Sun,2019-09-29,18:30 (12:30),Levante,1.3,1–1,1.1,Osasuna,19362,Estadio Ciudad de Valencia,César Soto,Match Report,
7,Sun,2019-09-29,21:00 (15:00),Sevilla,1.3,3–2,0.9,Real Sociedad,37414,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Match Report,
8,Fri,2019-10-04,21:00 (15:00),Betis,1.5,1–1,1.3,Eibar,47056,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
8,Sat,2019-10-05,13:00 (07:00),Leganés,2.7,1–2,1.3,Levante,10160,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
8,Sat,2019-10-05,16:00 (10:00),Real Madrid,2.2,4–2,1.6,Granada,70315,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
8,Sat,2019-10-05,18:30 (12:30),Valencia,1.3,2–1,1.0,Alavés,38943,Estadio de Mestalla,Eduardo Prieto,Match Report,
8,Sat,2019-10-05,21:00 (15:00),Osasuna,1.1,2–1,1.6,Villarreal,15349,Estadio El Sadar,Valentín Pizarro,Match Report,
8,Sun,2019-10-06,12:00 (06:00),Mallorca,0.6,2–0,1.0,Espanyol,15052,Iberostar Estadi,Ricardo de Burgos,Match Report,
