team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,draw_reg,win_ot,lose_ot,win_pk,lose_pk
Argentina,2.4,Bolivia,0.4,0.923,0.077,0.824,0.042,0.135,0.072,0.007,0.028,0.028
Argentina,0.9,Brazil,0.9,0.502,0.498,0.334,0.331,0.334,0.070,0.070,0.097,0.097
Argentina,1.2,Chile,0.7,0.649,0.351,0.475,0.218,0.307,0.088,0.047,0.086,0.086
Argentina,0.8,Colombia,0.5,0.602,0.398,0.393,0.221,0.386,0.084,0.052,0.125,0.125
Argentina,1.3,Costa Rica,0.4,0.789,0.211,0.607,0.104,0.288,0.099,0.023,0.083,0.083
Argentina,1.2,Ecuador,0.6,0.710,0.290,0.530,0.167,0.303,0.094,0.037,0.086,0.086
Argentina,2.5,Haiti,0.2,0.959,0.041,0.878,0.017,0.105,0.060,0.003,0.021,0.021
Argentina,1.8,Jamaica,0.3,0.897,0.103,0.762,0.045,0.193,0.087,0.009,0.048,0.048
Argentina,0.8,Mexico,0.6,0.562,0.438,0.367,0.262,0.371,0.079,0.059,0.116,0.116
Argentina,1.5,Panama,0.3,0.839,0.161,0.673,0.075,0.252,0.097,0.016,0.069,0.069
Argentina,1.1,Paraguay,0.4,0.750,0.250,0.554,0.124,0.322,0.099,0.029,0.097,0.097
Argentina,1.1,Peru,0.4,0.732,0.268,0.529,0.132,0.339,0.098,0.031,0.105,0.105
Argentina,1.2,Uruguay,0.7,0.661,0.339,0.489,0.211,0.299,0.089,0.046,0.083,0.083
Argentina,1.2,USA,0.7,0.662,0.338,0.488,0.207,0.305,0.089,0.045,0.085,0.085
Argentina,1.9,Venezuela,0.4,0.869,0.131,0.733,0.070,0.197,0.088,0.014,0.048,0.048
Bolivia,0.4,Argentina,2.4,0.077,0.923,0.042,0.824,0.135,0.007,0.072,0.028,0.028
Bolivia,0.5,Brazil,3.0,0.055,0.945,0.033,0.873,0.094,0.005,0.057,0.016,0.016
Bolivia,0.6,Chile,2.4,0.124,0.876,0.078,0.767,0.155,0.014,0.078,0.031,0.031
Bolivia,0.4,Colombia,1.8,0.146,0.854,0.080,0.714,0.206,0.016,0.090,0.050,0.050
Bolivia,0.7,Costa Rica,1.3,0.326,0.674,0.202,0.503,0.295,0.044,0.090,0.081,0.081
Bolivia,0.6,Ecuador,1.9,0.190,0.810,0.119,0.673,0.209,0.024,0.089,0.048,0.048
Bolivia,1.3,Haiti,0.6,0.706,0.294,0.533,0.175,0.292,0.092,0.038,0.081,0.081
Bolivia,0.9,Jamaica,0.9,0.527,0.473,0.359,0.313,0.328,0.074,0.066,0.094,0.094
Bolivia,0.4,Mexico,2.2,0.104,0.896,0.059,0.782,0.159,0.011,0.079,0.035,0.035
Bolivia,0.8,Panama,1.1,0.410,0.590,0.263,0.418,0.320,0.056,0.082,0.091,0.091
Bolivia,0.6,Paraguay,1.3,0.287,0.713,0.170,0.541,0.289,0.037,0.093,0.079,0.079
Bolivia,0.6,Peru,1.3,0.273,0.727,0.159,0.553,0.289,0.035,0.094,0.080,0.080
Bolivia,0.6,Uruguay,2.4,0.128,0.872,0.082,0.763,0.156,0.015,0.078,0.031,0.031
Bolivia,0.6,USA,2.3,0.135,0.865,0.085,0.751,0.164,0.016,0.080,0.034,0.034
Bolivia,1.0,Venezuela,1.3,0.398,0.602,0.273,0.450,0.277,0.055,0.081,0.070,0.070
Brazil,0.9,Argentina,0.9,0.498,0.502,0.331,0.334,0.334,0.070,0.070,0.097,0.097
Brazil,3.0,Bolivia,0.5,0.945,0.055,0.873,0.033,0.094,0.057,0.005,0.016,0.016
Brazil,1.5,Chile,0.9,0.665,0.335,0.514,0.224,0.263,0.086,0.046,0.065,0.065
Brazil,1.0,Colombia,0.7,0.614,0.386,0.431,0.236,0.333,0.085,0.052,0.098,0.098
Brazil,1.6,Costa Rica,0.5,0.819,0.181,0.666,0.101,0.233,0.093,0.021,0.059,0.059
Brazil,1.6,Ecuador,0.7,0.733,0.267,0.578,0.168,0.254,0.091,0.035,0.064,0.064
Brazil,3.1,Haiti,0.2,0.975,0.025,0.923,0.012,0.065,0.042,0.002,0.010,0.010
Brazil,2.3,Jamaica,0.3,0.924,0.076,0.821,0.039,0.140,0.073,0.007,0.030,0.030
Brazil,1.0,Mexico,0.8,0.569,0.431,0.399,0.280,0.321,0.079,0.060,0.091,0.091
Brazil,1.9,Panama,0.4,0.869,0.131,0.734,0.070,0.196,0.088,0.014,0.047,0.047
Brazil,1.4,Paraguay,0.5,0.777,0.223,0.610,0.124,0.266,0.095,0.027,0.072,0.072
Brazil,1.4,Peru,0.5,0.759,0.241,0.584,0.134,0.282,0.096,0.029,0.078,0.078
Brazil,1.6,Uruguay,0.9,0.679,0.321,0.529,0.215,0.255,0.087,0.044,0.062,0.062
Brazil,1.5,USA,0.9,0.680,0.320,0.528,0.212,0.260,0.087,0.043,0.065,0.065
Brazil,2.3,Venezuela,0.5,0.896,0.104,0.789,0.062,0.149,0.076,0.011,0.031,0.031
Chile,0.7,Argentina,1.2,0.351,0.649,0.218,0.475,0.307,0.047,0.088,0.086,0.086
Chile,2.4,Bolivia,0.6,0.876,0.124,0.767,0.078,0.155,0.078,0.014,0.031,0.031
Chile,0.9,Brazil,1.5,0.335,0.665,0.224,0.514,0.263,0.046,0.086,0.065,0.065
Chile,0.8,Colombia,0.9,0.472,0.528,0.307,0.355,0.337,0.066,0.074,0.099,0.099
Chile,1.3,Costa Rica,0.6,0.704,0.296,0.533,0.178,0.288,0.092,0.039,0.079,0.079
Chile,1.2,Ecuador,0.9,0.585,0.415,0.430,0.282,0.288,0.080,0.058,0.075,0.075
Chile,2.5,Haiti,0.3,0.941,0.059,0.852,0.031,0.117,0.065,0.005,0.023,0.023
Chile,1.8,Jamaica,0.4,0.853,0.147,0.714,0.080,0.206,0.089,0.016,0.050,0.050
Chile,0.8,Mexico,1.1,0.417,0.583,0.272,0.415,0.312,0.058,0.081,0.087,0.087
Chile,1.5,Panama,0.5,0.773,0.227,0.610,0.131,0.260,0.094,0.028,0.069,0.069
Chile,1.2,Paraguay,0.7,0.656,0.344,0.478,0.209,0.313,0.089,0.046,0.089,0.089
Chile,1.1,Peru,0.7,0.635,0.365,0.454,0.221,0.325,0.087,0.049,0.094,0.094
Chile,1.2,Uruguay,1.2,0.512,0.488,0.374,0.352,0.274,0.071,0.068,0.068,0.068
Chile,1.2,USA,1.1,0.517,0.483,0.375,0.345,0.280,0.071,0.067,0.071,0.071
Chile,1.9,Venezuela,0.7,0.800,0.200,0.661,0.125,0.213,0.089,0.025,0.049,0.049
Colombia,0.5,Argentina,0.8,0.398,0.602,0.221,0.393,0.386,0.052,0.084,0.125,0.125
